,,,,,,,,,,,
,,,,,,,,,,,
MXZA Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,
MSCI South Africa Index Max Cuml Total Return 725.5778% On 02/28/2018,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
6/30/2017,99.92,0.17002,205.27%,538.78%,-3.78%,-3.61%,,,,,
5/31/2017,103.85,0.06219,217.25%,562.74%,2.16%,2.22%,,,,,
4/28/2017,101.65,0.26863,210.55%,548.34%,5.24%,5.53%,,,,,
,,,,,,,,,,,
3/31/2017,96.59,0.92497,195.10%,514.37%,-0.73%,0.18%,,,,,
2/28/2017,97.3,--,197.25%,513.27%,1.76%,1.76%,,,,,
1/31/2017,95.62,0.08582,192.12%,502.68%,2.96%,3.05%,,,,,
,,,,,,,,,,,
12/30/2016,92.87,0.08426,183.72%,484.84%,5.22%,5.32%,,,,,
11/30/2016,88.27,0.25176,169.65%,455.31%,-8.41%,-8.15%,,,,,
10/31/2016,96.37,0.16782,194.43%,504.61%,-1.44%,-1.27%,,,,,
,,,,,,,,,,,
9/30/2016,97.78,0.66359,198.72%,512.38%,5.30%,6.02%,,,,,
8/31/2016,92.86,0.13141,183.68%,477.60%,-7.55%,-7.42%,,,,,
7/29/2016,100.44,0.04282,206.84%,523.92%,8.87%,8.92%,,,,,
,,,,,,,,,,,
6/30/2016,92.25,0.1388,181.84%,472.82%,6.90%,7.07%,,,,,
5/31/2016,86.3,0.04432,163.64%,435.00%,-8.73%,-8.68%,,,,,
4/29/2016,94.55,0.44394,188.86%,485.86%,3.11%,3.61%,,,,,
,,,,,,,,,,,
3/31/2016,91.7,0.61682,180.13%,465.43%,17.53%,18.38%,,,,,
2/29/2016,78.02,0.04393,138.34%,377.64%,0.12%,0.18%,,,,,
1/29/2016,77.92,0.06083,138.05%,376.78%,-3.90%,-3.82%,,,,,
,,,,,,,,,,,
12/31/2015,81.08,0.05791,147.71%,395.71%,-10.04%,-9.98%,,,,,
11/30/2015,90.13,0.23858,175.35%,450.64%,-7.34%,-7.10%,,,,,
10/30/2015,97.27,0.31839,197.17%,492.75%,7.01%,7.36%,,,,,
,,,,,,,,,,,
9/30/2015,90.9,0.44232,177.69%,452.09%,-7.29%,-6.84%,,,,,
8/31/2015,98.05,0.24617,199.53%,492.65%,-7.24%,-7.00%,,,,,
7/31/2015,105.7,0.05003,222.91%,537.24%,-6.14%,-6.10%,,,,,
,,,,,,,,,,,
6/30/2015,112.62,0.17904,244.04%,578.63%,2.46%,2.63%,,,,,
5/29/2015,109.91,0.04174,235.79%,561.26%,-8.58%,-8.54%,,,,,
4/30/2015,120.23,0.51921,267.29%,623.04%,5.52%,5.99%,,,,,
,,,,,,,,,,,
3/31/2015,113.94,0.81915,248.07%,582.20%,-2.46%,-1.76%,,,,,
2/27/2015,116.81,0.01451,256.84%,594.38%,0.58%,0.60%,,,,,
1/30/2015,116.13,0.09513,254.78%,590.28%,4.09%,4.18%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXZA Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,
MSCI South Africa Index Max Cuml Total Return 725.5778% On 02/28/2018,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/31/2014,111.56,0.121,240.83%,562.56%,-3.48%,-3.37%,,,,,
11/28/2014,115.58,0.23096,253.10%,585.68%,-0.25%,-0.05%,,,,,
10/31/2014,115.87,0.44536,253.98%,586.01%,6.42%,6.85%,,,,,
,,,,,,,,,,,
9/30/2014,108.88,0.54262,232.63%,542.04%,-9.42%,-9.00%,,,,,
8/29/2014,120.2,0.30051,267.22%,605.56%,1.46%,1.72%,,,,,
7/31/2014,118.47,0.02781,261.93%,593.66%,0.90%,0.93%,,,,,
,,,,,,,,,,,
6/30/2014,117.41,0.22077,258.70%,587.31%,2.76%,2.95%,,,,,
5/30/2014,114.26,0.04101,249.07%,567.60%,1.91%,1.94%,,,,,
4/30/2014,112.12,0.5054,242.54%,554.87%,-0.61%,-0.16%,,,,,
,,,,,,,,,,,
3/31/2014,112.81,0.93269,244.63%,555.91%,5.57%,6.48%,,,,,
2/28/2014,106.86,--,226.45%,515.97%,9.04%,9.04%,,,,,
1/31/2014,98,0.12187,199.40%,464.92%,-9.39%,-9.29%,,,,,
,,,,,,,,,,,
12/31/2013,108.16,0.09727,230.43%,522.75%,0.86%,0.95%,,,,,
11/29/2013,107.24,0.26319,227.60%,516.86%,-3.98%,-3.74%,,,,,
10/31/2013,111.68,0.448,241.17%,540.85%,4.31%,4.74%,,,,,
,,,,,,,,,,,
9/30/2013,107.06,0.81552,227.08%,511.85%,7.29%,8.12%,,,,,
8/30/2013,99.79,0.0738,204.86%,465.87%,-1.53%,-1.46%,,,,,
7/31/2013,101.34,0.05665,209.60%,474.26%,2.40%,2.46%,,,,,
,,,,,,,,,,,
6/28/2013,98.97,0.17565,202.34%,460.48%,-1.85%,-1.67%,,,,,
5/31/2013,100.83,0.04736,208.04%,469.98%,-5.50%,-5.46%,,,,,
4/30/2013,106.7,0.46736,225.97%,502.90%,-0.28%,0.17%,,,,,
,,,,,,,,,,,
3/29/2013,107,0.92892,226.88%,501.85%,-2.50%,-1.65%,,,,,
2/28/2013,109.74,--,235.27%,511.98%,-2.36%,-2.36%,,,,,
1/31/2013,112.4,0.11819,243.39%,526.79%,-5.77%,-5.67%,,,,,
,,,,,,,,,,,
12/31/2012,119.28,0.13469,264.40%,564.48%,10.07%,10.20%,,,,,
11/30/2012,108.36,0.14453,231.05%,502.95%,-1.56%,-1.43%,,,,,
10/31/2012,110.09,0.50785,236.31%,511.72%,-2.13%,-1.65%,,,,,
,,,,,,,,,,,
9/28/2012,112.48,0.66108,243.62%,521.99%,2.77%,3.37%,,,,,
8/31/2012,109.45,0.36271,234.37%,501.70%,-0.13%,0.19%,,,,,
7/31/2012,109.6,0.04918,234.81%,500.54%,2.53%,2.58%,,,,,
,,,,,,,,,,,
6/29/2012,106.89,0.22677,226.56%,485.46%,4.06%,4.29%,,,,,
5/31/2012,102.72,0.05835,213.81%,461.41%,-9.86%,-9.81%,,,,,
4/30/2012,113.95,0.46239,248.12%,522.44%,-0.52%,-0.11%,,,,,
,,,,,,,,,,,
3/30/2012,114.54,1.2819,249.93%,523.09%,-4.33%,-3.27%,,,,,
2/29/2012,119.73,--,265.77%,544.14%,7.23%,7.23%,,,,,
1/31/2012,111.65,0.11349,241.10%,500.70%,7.55%,7.67%,,,,,
,,,,,,,,,,,
12/30/2011,103.81,0.09096,217.14%,457.90%,-1.80%,-1.72%,,,,,
11/30/2011,105.71,0.17694,222.96%,467.65%,-0.55%,-0.37%,,,,,
10/31/2011,106.29,0.59063,224.73%,469.75%,8.61%,9.24%,,,,,
,,,,,,,,,,,
9/30/2011,97.87,0.85367,198.99%,421.55%,-16.02%,-15.35%,,,,,
8/31/2011,116.54,0.24589,256.02%,516.10%,-1.41%,-1.19%,,,,,
7/29/2011,118.2,0.07481,261.11%,523.52%,-0.87%,-0.81%,,,,,
,,,,,,,,,,,
6/30/2011,119.24,0.17969,264.29%,528.61%,-1.80%,-1.64%,,,,,
5/31/2011,121.43,0.02375,270.95%,539.12%,-5.17%,-5.15%,,,,,
4/29/2011,128.05,0.46827,291.20%,573.85%,5.13%,5.53%,,,,,
,,,,,,,,,,,
3/31/2011,121.8,0.9923,272.11%,538.55%,4.31%,5.20%,,,,,
2/28/2011,116.76,0.02197,256.72%,506.96%,6.07%,6.09%,,,,,
1/31/2011,110.09,0.16779,236.31%,472.13%,-12.69%,-12.57%,,,,,
,,,,,,,,,,,
12/31/2010,126.09,0.08319,285.19%,554.37%,15.24%,15.32%,,,,,
11/30/2010,109.41,0.06452,234.25%,467.43%,-2.93%,-2.87%,,,,,
10/29/2010,112.71,0.42206,244.34%,484.22%,1.19%,1.56%,,,,,
,,,,,,,,,,,
9/30/2010,111.39,0.65529,240.30%,475.23%,13.94%,14.66%,,,,,
8/31/2010,97.76,0.2241,198.67%,401.70%,-3.25%,-3.03%,,,,,
7/30/2010,101.05,0.0967,208.71%,417.39%,12.41%,12.53%,,,,,
,,,,,,,,,,,
6/30/2010,89.9,0.09136,174.63%,359.80%,-3.85%,-3.76%,,,,,
5/31/2010,93.5,0.03476,185.64%,377.74%,-6.62%,-6.58%,,,,,
4/30/2010,100.13,0.58656,205.89%,411.41%,-0.90%,-0.31%,,,,,
,,,,,,,,,,,
3/31/2010,101.03,0.41671,208.65%,413.02%,11.69%,12.17%,,,,,
2/26/2010,90.45,0.04071,176.34%,357.37%,-0.18%,-0.14%,,,,,
1/29/2010,90.62,0.14367,176.85%,358.00%,-5.44%,-5.30%,,,,,
,,,,,,,,,,,
12/31/2009,95.84,0.06103,192.79%,383.65%,4.53%,4.60%,,,,,
11/30/2009,91.69,0.07097,180.10%,362.39%,5.89%,5.98%,,,,,
10/30/2009,86.58,0.31945,164.51%,336.32%,-2.76%,-2.43%,,,,,
,,,,,,,,,,,
9/30/2009,89.04,0.40137,172.01%,347.17%,3.44%,3.90%,,,,,
8/31/2009,86.08,0.14205,162.97%,330.38%,4.76%,4.94%,,,,,
7/31/2009,82.17,0.04213,151.02%,310.11%,6.13%,6.19%,,,,,
,,,,,,,,,,,
6/30/2009,77.42,0.09144,136.53%,286.22%,0.13%,0.25%,,,,,
5/29/2009,77.32,--,136.22%,285.27%,17.13%,17.13%,,,,,
4/30/2009,66.01,0.21086,101.67%,228.91%,11.24%,11.61%,,,,,
,,,,,,,,,,,
3/31/2009,59.34,0.54997,81.29%,194.70%,16.78%,17.99%,,,,,
2/27/2009,50.82,0.00792,55.25%,149.77%,-6.98%,-6.97%,,,,,
1/30/2009,54.63,0.12511,66.90%,168.48%,-11.17%,-10.98%,,,,,
,,,,,,,,,,,
12/31/2008,61.5,0.0856,87.89%,201.61%,11.68%,11.86%,,,,,
11/28/2008,55.07,0.03328,68.24%,169.63%,-1.38%,-1.31%,,,,,
10/31/2008,55.84,0.41619,70.58%,173.22%,-25.47%,-24.94%,,,,,
,,,,,,,,,,,
9/30/2008,74.92,0.70066,128.87%,263.98%,-15.94%,-15.20%,,,,,
8/29/2008,89.12,0.37615,172.27%,329.23%,-4.80%,-4.39%,,,,,
7/31/2008,93.62,0.04038,186.01%,348.92%,2.20%,2.25%,,,,,
,,,,,,,,,,,
6/30/2008,91.6,0.19746,179.84%,339.04%,-9.93%,-9.74%,,,,,
5/30/2008,101.7,0.04279,210.69%,386.40%,3.08%,3.12%,,,,,
4/30/2008,98.66,0.52916,201.42%,371.69%,11.87%,12.48%,,,,,
,,,,,,,,,,,
3/31/2008,88.2,0.40441,169.44%,319.37%,-8.04%,-7.63%,,,,,
2/29/2008,95.91,0.00652,193.01%,354.01%,5.65%,5.65%,,,,,
1/31/2008,90.79,0.14026,177.35%,329.71%,-12.64%,-12.52%,,,,,
,,,,,,,,,,,
12/31/2007,103.92,0.19588,217.48%,391.23%,-4.35%,-4.18%,,,,,
11/30/2007,108.65,0.06324,231.92%,412.64%,-7.71%,-7.66%,,,,,
10/31/2007,117.73,0.4058,259.65%,455.15%,13.34%,13.77%,,,,,
,,,,,,,,,,,
9/28/2007,103.86,0.56075,217.31%,387.97%,6.39%,7.01%,,,,,
8/31/2007,97.62,0.20159,198.24%,356.01%,-0.87%,-0.64%,,,,,
7/31/2007,98.48,0.29729,200.85%,358.96%,-0.04%,0.25%,,,,,
,,,,,,,,,,,
6/29/2007,98.52,0.11889,200.98%,357.82%,-1.93%,-1.82%,,,,,
5/31/2007,100.46,0.01723,206.92%,366.29%,-3.71%,-3.70%,,,,,
4/30/2007,104.34,0.33432,218.76%,384.20%,8.85%,9.21%,,,,,
,,,,,,,,,,,
3/30/2007,95.86,0.77194,192.84%,343.38%,4.55%,5.43%,,,,,
2/28/2007,91.69,0.03399,180.11%,320.56%,0.28%,0.31%,,,,,
1/31/2007,91.44,0.16198,179.34%,319.25%,-0.36%,-0.18%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXZA Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,
MSCI South Africa Index Max Cuml Total Return 725.5778% On 02/28/2018,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/29/2006,91.77,0.18797,180.35%,319.98%,7.71%,7.94%,,,,,
11/30/2006,85.2,0.03365,160.28%,289.09%,8.11%,8.15%,,,,,
10/31/2006,78.81,0.24992,140.77%,259.77%,10.55%,10.93%,,,,,
,,,,,,,,,,,
9/29/2006,71.29,0.35971,117.78%,224.32%,-6.70%,-6.24%,,,,,
8/31/2006,76.41,0.14125,133.42%,245.88%,-0.51%,-0.33%,,,,,
7/31/2006,76.8,0.24436,134.61%,247.01%,0.35%,0.66%,,,,,
,,,,,,,,,,,
6/30/2006,76.53,0.13743,133.80%,244.73%,-3.82%,-3.65%,,,,,
5/31/2006,79.57,0.02291,143.08%,257.78%,-15.86%,-15.83%,,,,,
4/28/2006,94.56,0.49717,188.89%,325.09%,3.63%,4.18%,,,,,
,,,,,,,,,,,
3/31/2006,91.25,0.31994,178.78%,308.02%,7.50%,7.91%,,,,,
2/28/2006,84.88,0.01835,159.32%,278.12%,-5.78%,-5.76%,,,,,
1/31/2006,90.09,0.13752,175.23%,301.24%,16.05%,16.24%,,,,,
,,,,,,,,,,,
12/30/2005,77.63,0.17553,137.16%,245.18%,11.34%,11.60%,,,,,
11/30/2005,69.72,0.01169,113.01%,209.30%,8.11%,8.13%,,,,,
10/31/2005,64.49,0.26863,97.03%,186.05%,-9.90%,-9.54%,,,,,
,,,,,,,,,,,
9/30/2005,71.58,0.35949,118.68%,216.20%,9.59%,10.17%,,,,,
8/31/2005,65.32,0.0718,99.54%,187.01%,6.24%,6.36%,,,,,
7/29/2005,61.48,0.05486,87.82%,169.86%,8.44%,8.54%,,,,,
,,,,,,,,,,,
6/30/2005,56.7,0.30455,73.21%,148.62%,5.12%,5.69%,,,,,
5/31/2005,53.94,0.00347,64.78%,135.24%,-4.28%,-4.27%,,,,,
4/29/2005,56.35,0.48759,72.14%,145.74%,-1.88%,-1.03%,,,,,
,,,,,,,,,,,
3/31/2005,57.42,0.22034,75.43%,148.30%,-9.79%,-9.46%,,,,,
2/28/2005,63.66,0.04128,94.47%,174.25%,8.08%,8.15%,,,,,
1/31/2005,58.9,0.27083,79.94%,153.58%,-5.35%,-4.93%,,,,,
,,,,,,,,,,,
12/31/2004,62.23,0.0704,90.10%,166.72%,4.04%,4.16%,,,,,
11/30/2004,59.81,0.01099,82.72%,156.06%,13.05%,13.07%,,,,,
10/29/2004,52.91,0.18188,61.63%,126.47%,4.32%,4.70%,,,,,
,,,,,,,,,,,
9/30/2004,50.71,0.17609,54.93%,116.31%,8.13%,8.53%,,,,,
8/31/2004,46.9,0.14951,43.28%,99.31%,3.78%,4.11%,,,,,
7/30/2004,45.19,0.02423,38.07%,91.43%,0.94%,1.00%,,,,,
,,,,,,,,,,,
6/30/2004,44.77,0.10427,36.77%,89.54%,0.71%,0.94%,,,,,
5/31/2004,44.45,--,35.81%,87.77%,7.48%,7.48%,,,,,
4/30/2004,41.36,0.28631,26.36%,74.70%,-13.78%,-13.26%,,,,,
,,,,,,,,,,,
3/31/2004,47.98,0.34348,46.57%,101.41%,2.39%,3.13%,,,,,
2/27/2004,46.86,0.03131,43.15%,95.29%,6.15%,6.22%,,,,,
1/30/2004,44.14,0.08849,34.85%,83.86%,-0.44%,-0.26%,,,,,
,,,,,,,,,,,
12/31/2003,44.34,0.03696,35.45%,84.33%,1.11%,1.19%,,,,,
11/28/2003,43.85,--,33.97%,82.16%,7.55%,7.55%,,,,,
10/31/2003,40.78,0.1643,24.57%,69.37%,9.48%,9.94%,,,,,
,,,,,,,,,,,
9/30/2003,37.25,0.1644,13.79%,54.07%,1.42%,1.87%,,,,,
8/29/2003,36.72,0.16167,12.19%,51.24%,5.05%,5.52%,,,,,
7/31/2003,34.96,0.00967,6.80%,43.33%,7.08%,7.11%,,,,,
,,,,,,,,,,,
6/30/2003,32.65,0.03497,-0.27%,33.81%,4.71%,4.83%,,,,,
5/30/2003,31.18,--,-4.75%,27.65%,3.28%,3.28%,,,,,
4/30/2003,30.19,0.24398,-7.78%,23.60%,4.73%,5.59%,,,,,
,,,,,,,,,,,
3/31/2003,28.83,0.36728,-11.94%,17.06%,-6.19%,-5.01%,,,,,
2/28/2003,30.73,0.081,-6.13%,23.24%,0.18%,0.44%,,,,,
1/31/2003,30.67,0.07851,-6.29%,22.70%,-3.53%,-3.30%,,,,,
,,,,,,,,,,,
12/31/2002,31.8,0.01852,-2.86%,26.88%,5.68%,5.74%,,,,,
11/29/2002,30.09,--,-8.08%,19.99%,9.32%,9.32%,,,,,
10/31/2002,27.52,0.1195,-15.92%,9.76%,4.38%,4.86%,,,,,
,,,,,,,,,,,
9/30/2002,26.37,0.21848,-19.45%,4.68%,-0.67%,0.16%,,,,,
8/30/2002,26.54,0.07317,-18.91%,4.51%,2.50%,2.80%,,,,,
7/31/2002,25.9,0.07307,-20.89%,1.67%,-14.94%,-14.74%,,,,,
,,,,,,,,,,,
6/28/2002,30.44,0.01702,-6.99%,19.25%,-10.33%,-10.29%,,,,,
5/31/2002,33.95,0.00137,3.72%,32.92%,9.40%,9.41%,,,,,
4/30/2002,31.03,0.13151,-5.19%,21.49%,8.57%,9.05%,,,,,
,,,,,,,,,,,
3/29/2002,28.58,0.31603,-12.67%,11.41%,0.36%,1.50%,,,,,
2/28/2002,28.48,0.03947,-12.99%,9.76%,5.86%,6.00%,,,,,
1/31/2002,26.9,0.02925,-17.81%,3.55%,4.25%,4.36%,,,,,
,,,,,,,,,,,
12/31/2001,25.81,0.06683,-21.16%,-0.78%,-4.05%,-3.81%,,,,,
11/30/2001,26.9,0.00137,-17.83%,3.14%,2.98%,2.98%,,,,,
10/31/2001,26.12,0.02399,-20.21%,0.16%,1.87%,1.96%,,,,,
,,,,,,,,,,,
9/28/2001,25.64,0.20845,-21.67%,-1.77%,-15.90%,-15.23%,,,,,
8/31/2001,30.49,0.16545,-6.87%,15.89%,4.02%,4.60%,,,,,
7/31/2001,29.31,0.00575,-10.47%,10.79%,-11.86%,-11.84%,,,,,
,,,,,,,,,,,
6/29/2001,33.25,0.10684,1.57%,25.67%,-3.84%,-3.53%,,,,,
5/31/2001,34.58,0.01172,5.63%,30.27%,6.13%,6.17%,,,,,
4/30/2001,32.58,0.04761,-0.47%,22.70%,11.52%,11.70%,,,,,
,,,,,,,,,,,
3/30/2001,29.21,0.51325,-10.75%,9.85%,-15.60%,-14.26%,,,,,
2/28/2001,34.61,0.05854,5.74%,28.12%,1.03%,1.20%,,,,,
1/31/2001,34.26,--,4.67%,26.61%,6.00%,6.00%,,,,,
,,,,,,,,,,,
12/29/2000,32.32,0.13331,-1.26%,19.45%,11.30%,11.78%,,,,,
11/30/2000,29.04,0.01809,-11.28%,6.86%,-7.12%,-7.06%,,,,,
10/31/2000,31.27,0.02696,-4.48%,14.98%,-8.24%,-8.16%,,,,,
,,,,,,,,,,,
9/29/2000,34.07,0.27578,4.09%,25.19%,-6.32%,-5.57%,,,,,
8/31/2000,36.37,0.07149,11.12%,32.58%,10.23%,10.46%,,,,,
7/31/2000,33,0.16112,0.81%,20.03%,-2.18%,-1.72%,,,,,
,,,,,,,,,,,
6/30/2000,33.73,0.07756,3.06%,22.12%,6.16%,6.40%,,,,,
5/31/2000,31.78,0.0348,-2.92%,14.77%,-2.97%,-2.86%,,,,,
4/28/2000,32.75,0.14427,0.05%,18.16%,-9.45%,-9.09%,,,,,
,,,,,,,,,,,
3/31/2000,36.17,0.18732,10.49%,29.98%,-5.09%,-4.61%,,,,,
2/29/2000,38.11,0.09335,16.42%,36.25%,-2.58%,-2.34%,,,,,
1/31/2000,39.12,--,19.50%,39.52%,-2.81%,-2.81%,,,,,
,,,,,,,,,,,
12/31/1999,40.25,0.13717,22.96%,43.56%,13.39%,13.79%,,,,,
11/30/1999,35.5,0.01909,8.44%,26.16%,4.80%,4.86%,,,,,
10/29/1999,33.87,0.04742,3.48%,20.31%,4.19%,4.34%,,,,,
,,,,,,,,,,,
9/30/1999,32.51,0.21077,-0.69%,15.31%,1.03%,1.71%,,,,,
8/31/1999,32.18,0.09911,-1.70%,13.37%,-1.39%,-1.09%,,,,,
7/30/1999,32.63,0.00437,-0.32%,14.62%,-3.33%,-3.32%,,,,,
,,,,,,,,,,,
6/30/1999,33.75,0.08608,3.12%,18.56%,14.78%,15.08%,,,,,
5/31/1999,29.41,0.01609,-10.16%,3.02%,-11.08%,-11.03%,,,,,
4/30/1999,33.07,--,1.04%,15.79%,11.95%,11.95%,,,,,
,,,,,,,,,,,
3/31/1999,29.54,0.32763,-9.74%,3.44%,7.42%,8.61%,,,,,
