Date,Indonesia_Interest_Rate
2008-09,9.25
2008-10,9.5
2008-11,9.5
2008-12,9.25
2009-01,8.75
2009-02,8.25
2009-03,7.75
2009-04,7.5
2009-05,7.25
2009-06,7.0
2009-07,6.75
2009-08,6.5
2009-09,6.5
2009-10,6.5
2009-11,6.5
2009-12,6.5
2010-01,6.5
2010-02,6.5
2010-03,6.5
2010-04,6.5
2010-05,6.5
2010-06,6.5
2010-07,6.5
2010-08,6.5
2010-09,6.5
2010-10,6.5
2010-11,6.5
2010-12,6.5
2011-01,6.5
2011-02,6.75
2011-03,6.75
2011-04,6.75
2011-05,6.75
2011-06,6.75
2011-07,6.75
2011-08,6.75
2011-09,6.75
2011-10,6.5
2011-11,6.0
2011-12,6.0
2012-01,6.0
2012-02,5.75
2012-03,5.75
2012-04,5.75
2012-05,5.75
2012-06,5.75
2012-07,5.75
2012-08,5.75
2012-09,5.75
2012-10,5.75
2012-11,5.75
2012-12,5.75
2013-01,5.75
2013-02,5.75
2013-03,5.75
2013-04,5.75
2013-05,5.75
2013-06,6.0
2013-07,6.5
2013-08,7.0
2013-09,7.25
2013-10,7.25
2013-11,7.5
2013-12,7.5
2014-01,7.5
2014-02,7.5
2014-03,7.5
2014-04,7.5
2014-05,7.5
2014-06,7.5
2014-07,7.5
2014-08,7.5
2014-09,7.5
2014-10,7.5
2014-11,7.5
2014-12,7.75
2015-01,7.75
2015-02,7.5
2015-03,7.5
2015-04,7.5
2015-05,7.5
2015-06,7.5
2015-07,7.5
2015-08,7.5
2015-09,7.5
2015-10,7.5
2015-11,7.5
2015-12,7.5
2016-01,7.25
2016-02,7.0
2016-03,6.75
2016-04,6.75
2016-05,6.75
2016-06,6.5
2016-07,6.5
2016-08,5.25
2016-09,5.0
2016-10,4.75
2016-11,4.75
2016-12,4.75
2017-01,4.75
2017-02,4.75
2017-03,4.75
2017-04,4.75
2017-05,4.75
2017-06,4.75
2017-07,4.75
2017-08,4.5
2017-09,4.25
2017-10,4.25
2017-11,4.25
2017-12,4.25
2018-01,4.25
2018-02,4.25
2018-03,4.25
2018-04,4.25
2018-05,4.75
2018-06,5.25
2018-07,5.25
2018-08,5.5
2018-09,5.75
2018-10,5.75
2018-11,6.0
2018-12,6.0
2019-01,6.0
2019-02,6.0
2019-03,6.0
2019-04,6.0
2019-05,6.0
2019-06,6.0
2019-07,5.75
2019-08,5.5
2019-09,5.25
2019-10,5.0
2019-11,5.0
2019-12,5.0
2020-01,5.0
2020-02,4.75
2020-03,4.5
2020-04,4.5
2020-05,4.5
2020-06,4.25
2020-07,4.0
2020-08,4.0
2020-09,4.0
2020-10,4.0
2020-11,3.75
2020-12,3.75
2021-01,3.75
2021-02,3.5
2021-03,3.5
2021-04,3.5
2021-05,3.5
2021-06,3.5
2021-07,3.5
2021-08,3.5
2021-09,3.5
2021-10,3.5
2021-11,3.5
2021-12,3.5
2022-01,3.5
2022-02,3.5
2022-03,3.5
2022-04,3.5
2022-05,3.5
2022-06,3.5
2022-07,3.5
2022-08,3.75
2022-09,4.25
2022-10,4.75
2022-11,5.25
2022-12,5.5
