Date,Germany_CPI_Growth
1993-12,4.3
1994-01,3.03
1994-02,3.01
1994-03,2.87
1994-04,2.73
1994-05,2.86
1994-06,2.72
1994-07,2.45
1994-08,2.71
1994-09,2.58
1994-10,2.45
1994-11,2.45
1994-12,2.45
1995-01,2.3
1995-02,2.03
1995-03,1.9
1995-04,1.9
1995-05,1.64
1995-06,1.64
1995-07,1.64
1995-08,1.38
1995-09,1.64
1995-10,1.51
1995-11,1.39
1995-12,1.51
1996-01,1.38
1996-02,1.49
1996-03,1.49
1996-04,1.37
1996-05,1.49
1996-06,1.49
1996-07,1.36
1996-08,1.36
1996-09,1.36
1996-10,1.61
1996-11,1.49
1996-12,1.49
1997-01,2.1
1997-02,1.6
1997-03,1.6
1997-04,1.47
1997-05,1.59
1997-06,1.59
1997-07,2.32
1997-08,2.44
1997-09,2.2
1997-10,2.08
1997-11,2.2
1997-12,2.07
1998-01,1.21
1998-02,1.33
1998-03,1.21
1998-04,1.45
1998-05,1.33
1998-06,1.33
1998-07,0.84
1998-08,0.48
1998-09,0.48
1998-10,0.48
1998-11,0.48
1998-12,0.36
1999-01,0.24
1999-02,0.12
1999-03,0.24
1999-04,0.6
1999-05,0.48
1999-06,0.48
1999-07,0.59
1999-08,0.71
1999-09,0.71
1999-10,0.72
1999-11,0.95
1999-12,1.19
2000-01,1.55
2000-02,1.55
2000-03,1.55
2000-04,1.07
2000-05,0.95
2000-06,1.3
2000-07,1.3
2000-08,1.18
2000-09,1.65
2000-10,1.66
2000-11,1.53
2000-12,2.0
2001-01,1.41
2001-02,1.88
2001-03,1.88
2001-04,2.34
2001-05,2.82
2001-06,2.45
2001-07,2.09
2001-08,2.1
2001-09,1.86
2001-10,1.86
2001-11,1.51
2001-12,1.61
2002-01,2.08
2002-02,1.84
2002-03,2.07
2002-04,1.49
2002-05,1.26
2002-06,1.14
2002-07,1.14
2002-08,1.26
2002-09,1.26
2002-10,1.26
2002-11,1.15
2002-12,1.14
2003-01,1.02
2003-02,1.24
2003-03,1.13
2003-04,0.9
2003-05,0.56
2003-06,0.9
2003-07,1.01
2003-08,1.13
2003-09,1.01
2003-10,1.13
2003-11,1.25
2003-12,1.12
2004-01,1.12
2004-02,0.78
2004-03,1.0
2004-04,1.68
2004-05,2.13
2004-06,1.79
2004-07,1.78
2004-08,1.9
2004-09,1.79
2004-10,1.9
2004-11,1.9
2004-12,2.22
2005-01,1.44
2005-02,1.66
2005-03,1.77
2005-04,1.21
2005-05,1.21
2005-06,1.32
2005-07,1.53
2005-08,1.53
2005-09,1.86
2005-10,1.86
2005-11,1.76
2005-12,1.41
2006-01,1.86
2006-02,1.85
2006-03,1.41
2006-04,1.96
2006-05,1.74
2006-06,1.84
2006-07,1.83
2006-08,1.51
2006-09,1.08
2006-10,1.08
2006-11,1.4
2006-12,1.39
2007-01,1.72
2007-02,1.71
2007-03,1.93
2007-04,2.13
2007-05,2.13
2007-06,1.91
2007-07,2.01
2007-08,2.12
2007-09,2.66
2007-10,2.77
2007-11,3.3
2007-12,3.17
2008-01,2.85
2008-02,2.84
2008-03,3.15
2008-04,2.4
2008-05,3.03
2008-06,3.24
2008-07,3.32
2008-08,3.12
2008-09,2.8
2008-10,2.38
2008-11,1.34
2008-12,1.13
2009-01,0.92
2009-02,1.12
2009-03,0.41
2009-04,0.71
2009-06,0.1
2009-07,-0.5
2009-09,-0.2
2009-11,0.41
2009-12,0.81
2010-01,0.71
2010-02,0.51
2010-03,1.22
2010-04,1.21
2010-05,1.22
2010-06,0.91
2010-07,1.11
2010-08,1.01
2010-09,1.21
2010-10,1.31
2010-11,1.52
2010-12,1.31
2011-01,1.72
2011-02,1.91
2011-03,2.0
2011-04,1.9
2011-05,2.0
2011-06,2.1
2011-07,2.1
2011-08,2.1
2011-09,2.4
2011-10,2.3
2011-11,2.39
2011-12,1.98
2012-01,2.09
2012-02,2.17
2012-03,2.16
2012-04,1.96
2012-05,1.96
2012-06,1.67
2012-07,1.86
2012-08,2.15
2012-09,2.05
2012-10,2.05
2012-11,1.95
2012-12,2.04
2013-01,1.65
2013-02,1.55
2013-03,1.44
2013-04,1.15
2013-05,1.54
2013-06,1.83
2013-07,1.92
2013-08,1.53
2013-09,1.43
2013-10,1.24
2013-11,1.34
2013-12,1.43
2014-01,1.34
2014-02,1.24
2014-03,1.04
2014-04,1.33
2014-05,0.85
2014-06,1.04
2014-07,0.85
2014-08,0.85
2014-09,0.85
2014-10,0.76
2014-11,0.57
2014-12,0.19
2015-01,-0.28
2015-02,-0.05
2015-03,0.17
2015-04,0.87
2015-05,1.16
2015-06,0.88
2015-07,0.8
2015-08,0.8
2015-09,0.6
2015-10,0.88
2015-11,0.17
2015-12,0.17
2016-01,0.51
2016-02,0.1
2016-03,0.3
2016-04,-0.1
2016-05,0.2
2016-06,0.3
2016-07,0.5
2016-08,0.4
2016-09,0.6
2016-10,0.8
2016-11,0.8
2016-12,1.5
2017-01,1.62
2017-02,1.91
2017-03,1.4
2017-04,1.7
2017-05,1.19
2017-06,1.39
2017-07,1.38
2017-08,1.58
2017-09,1.68
2017-10,1.28
2017-11,1.59
2017-12,1.38
2018-01,1.39
2018-02,1.09
2018-03,1.48
2018-04,1.28
2018-05,2.06
2018-06,1.86
2018-07,1.85
2018-08,1.85
2018-09,1.95
2018-10,2.34
2018-11,2.06
2018-12,1.56
2019-01,1.37
2019-02,1.47
2019-03,1.26
2019-04,2.04
2019-05,1.44
2019-06,1.63
2019-07,1.72
2019-08,1.44
2019-09,1.24
2019-10,1.14
2019-11,1.06
2019-12,1.54
2020-01,1.74
2020-02,1.65
2020-03,1.47
2020-04,0.6
2020-05,0.41
2020-06,0.23
2020-07,-1.04
2020-08,-0.85
2020-09,-0.85
2020-10,-0.75
2020-11,-0.2
2020-12,-0.57
2021-01,1.2
2021-02,1.5
2021-03,1.79
2021-04,1.99
2021-05,2.19
2021-06,2.39
2021-07,3.71
2021-08,3.81
2021-09,4.11
2021-10,4.4
2021-11,4.81
2021-12,4.91
2022-01,4.16
2022-02,4.33
2022-03,5.88
2022-04,6.25
2022-05,7.02
2022-06,6.71
2022-07,6.67
2022-08,6.96
2022-09,8.57
2022-10,8.82
2022-11,8.8
2022-12,8.12
