Date,China_P.R.:_Mainland_CPI_Growth
2002-08,-0.72
2002-09,-0.63
2002-10,-0.73
2002-11,-0.63
2002-12,-0.43
2003-01,0.37
2003-02,0.17
2003-03,0.88
2003-04,0.98
2003-05,0.57
2003-06,0.27
2003-07,0.47
2003-08,0.87
2003-09,1.07
2003-10,1.78
2003-11,2.9
2003-12,3.21
2004-01,3.21
2004-02,2.08
2004-03,3.01
2004-04,3.73
2004-05,4.36
2004-06,4.88
2004-07,5.2
2004-08,5.2
2004-09,5.1
2004-10,4.16
2004-11,2.82
2004-12,2.31
2005-01,1.8
2005-02,3.84
2005-03,2.6
2005-04,1.78
2005-05,1.68
2005-06,1.58
2005-07,1.78
2005-08,1.28
2005-09,0.87
2005-10,1.28
2005-11,1.28
2005-12,1.58
2006-01,2.29
2006-02,0.98
2006-03,0.98
2006-04,1.49
2006-05,1.59
2006-06,1.9
2006-07,1.59
2006-08,1.69
2006-09,1.49
2006-10,1.19
2006-11,1.8
2006-12,2.81
2007-01,2.2
2007-02,2.71
2007-03,3.33
2007-04,3.02
2007-05,3.44
2007-06,4.37
2007-07,5.63
2007-08,6.58
2007-09,6.36
2007-10,6.58
2007-11,7.0
2007-12,6.58
2008-01,7.11
2008-02,8.8
2008-03,8.37
2008-04,8.59
2008-05,7.83
2008-06,7.18
2008-07,6.33
2008-08,4.97
2008-09,4.65
2008-10,4.03
2008-11,2.48
2008-12,1.26
2009-01,0.96
2009-02,-1.6
2009-03,-1.2
2009-04,-1.5
2009-05,-1.4
2009-06,-1.7
2009-07,-1.79
2009-08,-1.2
2009-09,-0.81
2009-10,-0.61
2009-11,0.5
2009-12,1.7
2010-01,1.4
2010-02,2.62
2010-03,2.2
2010-04,2.62
2010-05,2.82
2010-06,2.72
2010-07,3.13
2010-08,3.23
2010-09,3.43
2010-10,4.26
2010-11,5.09
2010-12,4.57
2011-01,5.0
2011-02,5.07
2011-03,5.6
2011-04,5.5
2011-05,5.7
2011-06,6.67
2011-07,6.71
2011-08,6.37
2011-09,6.24
2011-10,5.6
2011-11,4.25
2011-12,4.03
2012-01,4.54
2012-02,3.13
2012-03,3.52
2012-04,3.33
2012-05,2.94
2012-06,2.06
2012-07,1.7
2012-08,2.08
2012-09,1.91
2012-10,1.71
2012-11,2.07
2012-12,2.53
2013-01,2.02
2013-02,3.24
2013-03,2.12
2013-04,2.42
2013-05,2.09
2013-06,2.66
2013-07,2.67
2013-08,2.52
2013-09,3.02
2013-10,3.23
2013-11,2.95
2013-12,2.51
2014-01,2.51
2014-02,1.91
2014-03,2.31
2014-04,1.7
2014-05,2.41
2014-06,2.31
2014-07,2.21
2014-08,1.9
2014-09,1.61
2014-10,1.51
2014-11,1.3
2014-12,1.41
2015-01,0.71
2015-02,1.41
2015-03,1.32
2015-04,1.53
2015-05,1.22
2015-06,1.32
2015-07,1.73
2015-08,2.03
2015-09,1.62
2015-10,1.21
2015-11,1.52
2015-12,1.62
2016-01,1.81
2016-02,2.19
2016-03,2.3
2016-04,2.31
2016-05,2.11
2016-06,1.91
2016-07,1.7
2016-08,1.29
2016-09,1.89
2016-10,2.2
2016-11,2.3
2016-12,1.99
2017-01,2.57
2017-02,0.78
2017-03,0.98
2017-04,1.18
2017-05,1.67
2017-06,1.68
2017-07,1.38
2017-08,1.77
2017-09,1.66
2017-10,1.86
2017-11,1.76
2017-12,1.85
2018-01,1.45
2018-02,2.9
2018-03,2.03
2018-04,1.84
2018-05,1.55
2018-06,1.75
2018-07,2.14
2018-08,2.32
2018-09,2.4
2018-10,2.5
2018-11,2.11
2018-12,1.91
2019-01,1.71
2019-02,1.5
2019-03,2.28
2019-04,2.57
2019-05,2.76
2019-06,2.67
2019-07,2.76
2019-08,2.83
2019-09,3.0
2019-10,3.75
2019-11,4.51
2019-12,4.41
2020-01,5.42
2020-02,5.18
2020-03,4.27
2020-04,3.25
2020-05,2.41
2020-06,2.51
2020-07,1.76
2020-08,2.39
2020-09,1.73
2020-10,0.54
2020-11,-0.45
2020-12,0.27
2021-01,-0.22
2021-02,-0.42
2021-03,0.32
2021-04,0.92
2021-05,1.64
2021-06,1.24
2021-07,1.91
2021-08,0.64
2021-09,0.46
2021-10,1.43
2021-11,2.48
2021-12,1.44
2022-01,0.99
2022-02,0.99
2022-03,1.49
2022-04,2.18
2022-05,2.09
2022-06,2.5
2022-07,2.69
2022-08,2.49
2022-09,2.78
2022-10,2.17
2022-11,1.57
2022-12,1.78
