Date,Indonesia_CPI_Growth
1992-05,9.13
1992-06,9.33
1992-07,7.49
1992-08,5.72
1992-09,5.77
1992-10,5.38
1992-11,4.52
1992-12,5.03
1993-01,7.62
1993-02,9.53
1993-03,10.42
1993-04,9.6
1993-05,9.59
1993-06,9.14
1993-07,9.73
1993-08,9.82
1993-09,9.92
1993-10,10.15
1993-11,10.29
1993-12,10.17
1994-01,8.4
1994-02,8.13
1994-03,7.24
1994-04,7.39
1994-05,7.79
1994-06,7.66
1994-07,8.37
1994-08,8.99
1994-09,9.32
1994-10,9.62
1994-11,9.68
1994-12,9.67
1995-01,9.5
1995-02,9.0
1995-03,8.94
1995-04,10.44
1995-05,10.48
1995-06,10.51
1995-07,9.77
1995-08,9.17
1995-09,8.94
1995-10,8.73
1995-11,8.69
1995-12,8.96
1996-01,11.08
1996-02,11.12
1996-03,9.69
1996-04,8.2
1996-05,8.38
1996-06,7.38
1996-07,7.37
1996-08,6.97
1996-09,6.82
1996-10,6.52
1996-11,6.54
1996-12,6.03
1997-01,4.61
1997-02,3.99
1997-03,4.74
1997-04,4.88
1997-05,4.5
1997-06,5.24
1997-07,5.37
1997-08,6.4
1997-09,7.33
1997-10,8.4
1997-11,8.79
1997-12,10.32
1998-01,16.24
1998-02,30.0
1998-03,36.83
1998-04,42.66
1998-05,49.66
1998-06,56.66
1998-07,68.73
1998-08,77.7
1998-09,82.42
1998-10,79.44
1998-11,78.16
1998-12,77.61
1999-01,70.64
1999-02,53.41
1999-03,45.42
1999-04,37.97
1999-05,30.74
1999-06,24.53
1999-07,13.5
1999-08,5.78
1999-09,1.25
1999-10,1.57
1999-11,1.59
1999-12,1.93
2000-01,0.29
2000-02,-0.9
2000-03,-1.17
2000-04,0.06
2000-05,1.2
2000-06,2.03
2000-07,4.46
2000-08,5.96
2000-09,6.64
2000-10,7.81
2000-11,9.13
2000-12,9.34
2001-01,8.28
2001-02,9.12
2001-03,10.61
2001-04,10.51
2001-05,10.83
2001-06,12.12
2001-07,13.03
2001-08,12.24
2001-09,13.01
2001-10,12.47
2001-11,12.91
2001-12,12.54
2002-01,14.56
2002-02,14.88
2002-03,14.21
2002-04,13.44
2002-05,13.09
2002-06,11.57
2002-07,10.02
2002-08,10.57
2002-09,10.54
2002-10,10.34
2002-11,10.4
2002-12,9.92
2003-01,8.66
2003-02,7.64
2003-03,7.11
2003-04,7.63
2003-05,7.07
2003-06,6.94
2003-07,6.2
2003-08,6.59
2003-09,6.34
2003-10,6.41
2003-11,5.53
2003-12,5.16
2004-01,4.84
2004-02,4.55
2004-03,5.13
2004-04,5.87
2004-05,6.5
2004-06,6.78
2004-07,7.26
2004-08,6.63
2004-09,6.24
2004-10,6.21
2004-11,6.23
2004-12,6.47
2005-01,7.23
2005-02,7.16
2005-03,8.85
2005-04,8.13
2005-05,7.4
2005-06,7.46
2005-07,7.81
2005-08,8.32
2005-09,9.06
2005-10,17.93
2005-11,18.35
2005-12,17.08
2006-01,17.06
2006-02,17.94
2006-03,15.73
2006-04,15.4
2006-05,15.59
2006-06,15.54
2006-07,15.16
2006-08,14.9
2006-09,14.56
2006-10,6.29
2006-11,5.27
2006-12,6.6
2007-01,6.26
2007-02,6.3
2007-03,6.51
2007-04,6.3
2007-05,6.0
2007-06,5.77
2007-07,6.06
2007-08,6.5
2007-09,6.96
2007-10,6.87
2007-11,6.72
2007-12,6.58
2008-01,7.36
2008-02,7.4
2008-03,8.17
2008-04,8.97
2008-05,10.39
2008-06,11.28
2008-07,12.0
2008-08,11.75
2008-09,11.93
2008-10,11.55
2008-11,11.48
2008-12,10.23
2009-01,8.24
2009-02,7.76
2009-03,6.97
2009-04,6.04
2009-05,4.62
2009-06,3.65
2009-07,2.71
2009-08,2.75
2009-09,2.83
2009-10,2.57
2009-11,2.41
2009-12,2.78
2010-01,3.72
2010-02,3.82
2010-03,3.43
2010-04,3.91
2010-05,4.16
2010-06,5.05
2010-07,6.22
2010-08,6.44
2010-09,5.8
2010-10,5.67
2010-11,6.33
2010-12,6.96
2011-01,7.02
2011-02,6.83
2011-03,6.65
2011-04,6.16
2011-05,5.98
2011-06,5.54
2011-07,4.61
2011-08,4.79
2011-09,4.61
2011-10,4.42
2011-11,4.15
2011-12,3.79
2012-01,3.65
2012-02,3.56
2012-03,3.97
2012-04,4.5
2012-05,4.45
2012-06,4.53
2012-07,4.56
2012-08,4.58
2012-09,4.31
2012-10,4.61
2012-11,4.32
2012-12,4.3
2013-01,4.13
2013-02,4.81
2013-03,5.24
2013-04,5.07
2013-05,5.1
2013-06,5.51
2013-07,7.94
2013-08,7.98
2013-09,7.7
2013-10,7.72
2013-11,7.82
2013-12,7.72
2014-01,8.22
2014-02,7.75
2014-03,7.32
2014-04,7.25
2014-05,7.32
2014-06,6.7
2014-07,4.53
2014-08,3.99
2014-09,4.53
2014-10,4.83
2014-11,6.23
2014-12,8.36
2015-01,6.96
2015-02,6.29
2015-03,6.38
2015-04,6.79
2015-05,7.15
2015-06,7.26
2015-07,7.26
2015-08,7.18
2015-09,6.83
2015-10,6.25
2015-11,4.89
2015-12,3.35
2016-01,4.14
2016-02,4.42
2016-03,4.45
2016-04,3.6
2016-05,3.33
2016-06,3.45
2016-07,3.21
2016-08,2.79
2016-09,3.07
2016-10,3.31
2016-11,3.58
2016-12,3.02
2017-01,3.49
2017-02,3.83
2017-03,3.61
2017-04,4.17
2017-05,4.33
2017-06,4.37
2017-07,3.88
2017-08,3.82
2017-09,3.72
2017-10,3.58
2017-11,3.3
2017-12,3.61
2018-01,3.25
2018-02,3.18
2018-03,3.4
2018-04,3.41
2018-05,3.23
2018-06,3.12
2018-07,3.18
2018-08,3.2
2018-09,2.88
2018-10,3.16
2018-11,3.23
2018-12,3.13
2019-01,2.82
2019-02,2.57
2019-03,2.48
2019-04,2.83
2019-05,3.32
2019-06,3.28
2019-07,3.32
2019-08,3.49
2019-09,3.39
2019-10,3.13
2019-11,3.0
2019-12,2.72
2020-01,2.68
2020-02,3.05
2020-03,3.03
2020-04,2.66
2020-05,2.03
2020-06,1.66
2020-07,1.23
2020-08,1.07
2020-09,1.3
2020-10,1.34
2020-11,1.48
2020-12,1.59
2021-01,1.55
2021-02,1.38
2021-03,1.37
2021-04,1.42
2021-05,1.68
2021-06,1.33
2021-07,1.51
2021-08,1.59
2021-09,1.6
2021-10,1.66
2021-11,1.75
2021-12,1.87
2022-01,2.18
2022-02,2.06
2022-03,2.64
2022-04,3.47
2022-05,3.55
2022-06,4.35
2022-07,4.94
2022-08,4.69
2022-09,5.95
2022-10,5.71
2022-11,5.42
2022-12,5.51
