Date,Türkiye_Rep_of_CPI_Growth
1975-06,21.09
1975-07,19.74
1975-08,19.16
1975-09,17.73
1975-10,18.13
1975-11,17.2
1975-12,16.26
1976-01,19.34
1976-02,16.76
1976-03,15.61
1976-04,15.36
1976-05,15.0
1976-06,16.7
1976-07,17.48
1976-08,18.73
1976-09,19.33
1976-10,18.33
1976-11,17.38
1976-12,19.33
1977-01,15.98
1977-02,15.25
1977-03,16.89
1977-04,18.11
1977-05,19.49
1977-06,18.72
1977-07,22.06
1977-08,22.7
1977-09,29.35
1977-10,36.61
1977-11,44.94
1977-12,46.77
1978-01,51.62
1978-02,57.23
1978-03,56.24
1978-04,58.98
1978-05,64.56
1978-06,70.19
1978-07,70.49
1978-08,71.67
1978-09,67.15
1978-10,63.43
1978-11,58.04
1978-12,53.97
1979-01,51.52
1979-02,47.08
1979-03,47.99
1979-04,51.02
1979-05,49.92
1979-06,59.6
1979-07,67.09
1979-08,69.59
1979-09,69.84
1979-10,73.21
1979-11,76.62
1979-12,81.84
1980-01,96.19
1980-02,117.4
1980-03,120.11
1980-04,117.44
1980-05,114.54
1980-06,101.35
1980-07,89.24
1980-08,88.18
1980-09,86.69
1980-10,82.68
1980-11,76.23
1980-12,75.07
1981-01,64.21
1981-02,47.02
1981-03,42.64
1981-04,38.16
1981-05,37.81
1981-06,37.72
1981-07,36.7
1981-08,33.06
1981-09,34.28
1981-10,31.38
1981-11,32.22
1981-12,28.6
1982-01,30.16
1982-02,31.24
1982-03,33.33
1982-04,33.85
1982-05,30.65
1982-06,27.83
1982-07,27.39
1982-08,28.05
1982-09,26.02
1982-10,26.45
1982-11,26.69
1982-12,29.64
1983-01,28.88
1983-02,29.18
1983-03,28.86
1983-04,29.53
1983-05,29.99
1983-06,29.52
1983-07,29.54
1983-08,30.8
1983-09,30.95
1983-10,34.27
1983-11,36.14
1983-12,37.06
1984-01,36.06
1984-02,34.75
1984-03,36.17
1984-04,42.56
1984-05,48.48
1984-06,56.05
1984-07,55.87
1984-08,56.1
1984-09,54.34
1984-10,52.96
1984-11,53.12
1984-12,49.68
1985-01,52.77
1985-02,55.43
1985-03,57.97
1985-04,49.94
1985-05,46.44
1985-06,36.47
1985-07,37.15
1985-08,37.28
1985-09,40.89
1985-10,43.46
1985-11,44.54
1985-12,44.19
1986-01,40.95
1986-02,38.82
1986-03,34.21
1986-04,33.61
1986-05,32.95
1986-06,37.17
1986-07,37.78
1986-08,35.48
1986-09,32.31
1986-10,33.66
1986-11,30.64
1986-12,30.67
1987-01,30.34
1987-02,31.58
1987-03,34.74
1987-04,37.04
1987-05,41.12
1987-06,37.68
1987-07,37.74
1987-08,38.89
1987-09,39.73
1987-10,36.43
1987-11,41.72
1987-12,55.05
1988-01,59.63
1988-02,61.24
1988-03,64.05
1988-04,70.7
1988-05,68.3
1988-06,69.98
1988-07,69.46
1988-08,70.58
1988-09,75.54
1988-10,76.85
1988-11,75.34
1988-12,61.57
1989-01,62.5
1989-02,64.13
1989-03,60.24
1989-04,60.22
1989-05,59.58
1989-06,61.48
1989-07,63.77
1989-08,65.59
1989-09,65.15
1989-10,66.07
1989-11,64.51
1989-12,64.28
1990-01,60.04
1990-02,59.49
1990-03,62.82
1990-04,63.45
1990-05,63.49
1990-06,62.55
1990-07,56.29
1990-08,54.83
1990-09,59.32
1990-10,60.31
1990-11,61.31
1990-12,60.41
1991-01,61.99
1991-02,63.54
1991-03,62.27
1991-04,62.15
1991-05,62.56
1991-06,64.88
1991-07,68.6
1991-08,70.96
1991-09,66.85
1991-10,66.47
1991-11,66.85
1991-12,71.14
1992-01,78.5
1992-02,77.84
1992-03,78.69
1992-04,73.99
1992-05,69.86
1992-06,65.79
1992-07,65.8
1992-08,65.54
1992-09,67.67
1992-10,69.18
1992-11,68.59
1992-12,65.97
1993-01,59.77
1993-02,58.16
1993-03,58.01
1993-04,58.97
1993-05,65.03
1993-06,67.24
1993-07,73.12
1993-08,71.2
1993-09,68.25
1993-10,67.2
1993-11,69.62
1993-12,71.08
1994-01,69.65
1994-02,73.78
1994-03,75.53
1994-04,107.48
1994-05,114.47
1994-06,114.73
1994-07,111.14
1994-08,111.49
1994-09,112.69
1994-10,113.44
1994-11,113.36
1994-12,120.31
1995-01,125.89
1995-02,122.42
1995-03,119.67
1995-04,88.41
1995-05,79.81
1995-06,80.91
1995-07,80.8
1995-08,83.43
1995-09,86.01
1995-10,84.36
1995-11,81.53
1995-12,76.05
1996-01,78.11
1996-02,77.49
1996-03,79.34
1996-04,80.83
1996-05,82.93
1996-06,82.86
1996-07,81.2
1996-08,82.66
1996-09,79.32
1996-10,79.59
1996-11,80.38
1996-12,79.76
1997-01,75.72
1997-02,77.65
1997-03,77.3
1997-04,77.16
1997-05,77.46
1997-06,78.05
1997-07,85.23
1997-08,87.04
1997-09,89.86
1997-10,93.16
1997-11,95.82
1997-12,99.09
1998-01,101.62
1998-02,99.25
1998-03,97.18
1998-04,93.57
1998-05,91.37
1998-06,90.55
1998-07,85.35
1998-08,81.43
1998-09,80.43
1998-10,76.64
1998-11,72.77
1998-12,69.73
1999-01,65.9
1999-02,63.93
1999-03,63.54
1999-04,63.85
1999-05,62.97
1999-06,64.27
1999-07,65.0
1999-08,65.4
1999-09,64.27
1999-10,64.7
1999-11,64.55
1999-12,68.79
2000-01,68.88
2000-02,69.75
2000-03,67.9
2000-04,63.82
2000-05,62.67
2000-06,58.62
2000-07,56.21
2000-08,53.17
2000-09,48.96
2000-10,44.44
2000-11,43.76
2000-12,39.03
2001-01,35.92
2001-02,33.42
2001-03,37.51
2001-04,48.27
2001-05,52.39
2001-06,56.1
2001-07,56.33
2001-08,57.5
2001-09,61.8
2001-10,66.47
2001-11,67.29
2001-12,68.53
2002-01,73.16
2002-02,73.08
2002-03,65.11
2002-04,52.72
2002-05,46.22
2002-06,42.6
2002-07,41.28
2002-08,40.24
2002-09,37.05
2002-10,33.45
2002-11,31.77
2002-12,29.75
2003-01,26.38
2003-02,26.12
2003-03,27.08
2003-04,25.76
2003-05,26.23
2003-06,25.6
2003-07,23.58
2003-08,21.13
2003-09,18.64
2003-10,15.93
2003-11,14.08
2003-12,12.71
2004-01,10.59
2004-02,9.48
2004-03,8.4
2004-04,7.87
2004-05,7.31
2004-06,7.08
2004-07,7.8
2004-08,8.44
2004-09,8.01
2004-10,9.43
2004-11,9.47
2004-12,9.35
2005-01,9.24
2005-02,8.69
2005-03,7.94
2005-04,8.18
2005-05,8.7
2005-06,8.95
2005-07,7.82
2005-08,7.91
2005-09,7.99
2005-10,7.52
2005-11,7.61
2005-12,7.72
2006-01,7.93
2006-02,8.15
2006-03,8.16
2006-04,8.83
2006-05,9.86
2006-06,10.12
2006-07,11.69
2006-08,10.26
2006-09,10.55
2006-10,9.98
2006-11,9.86
2006-12,9.65
2007-01,9.93
2007-02,10.16
2007-03,10.86
2007-04,10.72
2007-05,9.23
2007-06,8.6
2007-07,6.9
2007-08,7.39
2007-09,7.12
2007-10,7.7
2007-11,8.4
2007-12,8.39
2008-01,8.17
2008-02,9.1
2008-03,9.15
2008-04,9.66
2008-05,10.74
2008-06,10.61
2008-07,12.06
2008-08,11.77
2008-09,11.13
2008-10,11.99
2008-11,10.76
2008-12,10.06
2009-01,9.5
2009-02,7.73
2009-03,7.89
2009-04,6.13
2009-05,5.24
2009-06,5.73
2009-07,5.39
2009-08,5.33
2009-09,5.27
2009-10,5.08
2009-11,5.53
2009-12,6.53
2010-01,8.19
2010-02,10.13
2010-03,9.56
2010-04,10.19
2010-05,9.1
2010-06,8.37
2010-07,7.58
2010-08,8.33
2010-09,9.24
2010-10,8.62
2010-11,7.29
2010-12,6.4
2011-01,4.9
2011-02,4.16
2011-03,3.99
2011-04,4.26
2011-05,7.17
2011-06,6.24
2011-07,6.31
2011-08,6.65
2011-09,6.15
2011-10,7.66
2011-11,9.48
2011-12,10.45
2012-01,10.61
2012-02,10.43
2012-03,10.43
2012-04,11.14
2012-05,8.28
2012-06,8.87
2012-07,9.07
2012-08,8.88
2012-09,9.19
2012-10,7.8
2012-11,6.37
2012-12,6.16
2013-01,7.31
2013-02,7.03
2013-03,7.29
2013-04,6.13
2013-05,6.51
2013-06,8.3
2013-07,8.88
2013-08,8.17
2013-09,7.88
2013-10,7.71
2013-11,7.32
2013-12,7.4
2014-01,7.75
2014-02,7.89
2014-03,8.39
2014-04,9.38
2014-05,9.66
2014-06,9.16
2014-07,9.32
2014-08,9.54
2014-09,8.86
2014-10,8.96
2014-11,9.15
2014-12,8.17
2015-01,7.24
2015-02,7.55
2015-03,7.61
2015-04,7.91
2015-05,8.09
2015-06,7.2
2015-07,6.81
2015-08,7.14
2015-09,7.95
2015-10,7.58
2015-11,8.1
2015-12,8.81
2016-01,9.58
2016-02,8.78
2016-03,7.46
2016-04,6.57
2016-05,6.58
2016-06,7.64
2016-07,8.79
2016-08,8.05
2016-09,7.28
2016-10,7.16
2016-11,7.0
2016-12,8.53
2017-01,9.22
2017-02,10.13
2017-03,11.29
2017-04,11.87
2017-05,11.72
2017-06,10.9
2017-07,9.79
2017-08,10.68
2017-09,11.2
2017-10,11.9
2017-11,12.98
2017-12,11.92
2018-01,10.35
2018-02,10.26
2018-03,10.23
2018-04,10.85
2018-05,12.15
2018-06,15.39
2018-07,15.85
2018-08,17.9
2018-09,24.52
2018-10,25.24
2018-11,21.62
2018-12,20.3
2019-01,20.35
2019-02,19.67
2019-03,19.71
2019-04,19.5
2019-05,18.71
2019-06,15.72
2019-07,16.65
2019-08,15.01
2019-09,9.26
2019-10,8.55
2019-11,10.56
2019-12,11.84
2020-01,12.15
2020-02,12.37
2020-03,11.86
2020-04,10.94
2020-05,11.39
2020-06,12.62
2020-07,11.76
2020-08,11.77
2020-09,11.75
2020-10,11.89
2020-11,14.03
2020-12,14.6
2021-01,14.97
2021-02,15.61
2021-03,16.19
2021-04,17.14
2021-05,16.59
2021-06,17.53
2021-07,18.95
2021-08,19.25
2021-09,19.58
2021-10,19.89
2021-11,21.31
2021-12,36.08
2022-01,48.69
2022-02,54.44
2022-03,61.14
2022-04,69.97
2022-05,73.5
2022-06,78.62
2022-07,79.6
2022-08,80.21
2022-09,83.45
2022-10,85.51
2022-11,84.39
2022-12,64.27
