Date,India_CPI_Growth
1998-08,15.04
1998-09,16.34
1998-10,18.63
1998-11,19.67
1998-12,15.32
1999-01,9.38
1999-02,8.64
1999-03,8.95
1999-04,8.36
1999-05,7.71
1999-06,5.26
1999-07,3.16
1999-08,3.15
1999-09,2.14
1999-10,0.92
1999-12,0.47
2000-01,2.62
2000-02,3.61
2000-03,4.83
2000-04,5.54
2000-05,5.01
2000-06,5.24
2000-07,4.95
2000-08,3.99
2000-09,3.5
2000-10,2.75
2000-11,2.74
2000-12,3.48
2001-01,3.25
2001-02,3.02
2001-03,2.53
2001-04,2.28
2001-05,2.5
2001-06,3.39
2001-07,4.04
2001-08,5.19
2001-09,4.73
2001-10,4.23
2001-11,4.89
2001-12,5.16
2002-01,4.94
2002-02,5.19
2002-03,5.17
2002-04,4.69
2002-05,4.66
2002-06,4.16
2002-07,3.89
2002-08,3.86
2002-09,4.3
2002-10,4.06
2002-11,3.6
2002-12,3.2
2003-01,3.43
2003-02,3.86
2003-03,4.06
2003-04,5.12
2003-05,4.66
2003-06,4.41
2003-07,4.16
2003-08,3.1
2003-09,2.89
2003-10,3.29
2003-11,3.07
2003-12,3.72
2004-01,4.35
2004-02,4.13
2004-03,3.49
2004-04,2.23
2004-05,2.83
2004-06,3.02
2004-07,3.19
2004-08,4.61
2004-09,4.81
2004-10,4.57
2004-11,4.17
2004-12,3.78
2005-01,4.37
2005-02,4.17
2005-03,4.17
2005-04,4.96
2005-05,3.74
2005-06,3.32
2005-07,4.06
2005-08,3.45
2005-09,3.63
2005-10,4.18
2005-11,5.33
2005-12,5.57
2006-01,4.37
2006-02,4.57
2006-03,4.57
2006-04,4.65
2006-05,5.93
2006-06,7.27
2006-07,6.33
2006-08,5.94
2006-09,6.4
2006-10,6.92
2006-11,5.95
2006-12,6.53
2007-01,6.72
2007-02,7.56
2007-03,6.72
2007-04,6.67
2007-05,6.61
2007-06,5.69
2007-07,6.45
2007-08,7.26
2007-09,6.4
2007-10,5.51
2007-11,5.51
2007-12,5.51
2008-01,5.51
2008-02,5.47
2008-03,7.87
2008-04,7.81
2008-05,7.75
2008-06,7.69
2008-07,8.33
2008-08,9.02
2008-09,9.77
2008-10,10.45
2008-11,10.45
2008-12,9.7
2009-01,10.45
2009-02,9.63
2009-03,8.03
2009-04,8.7
2009-05,8.63
2009-06,9.29
2009-07,11.89
2009-08,11.72
2009-09,11.64
2009-10,11.49
2009-11,13.51
2009-12,14.97
2010-01,16.22
2010-02,14.86
2010-03,14.86
2010-04,13.33
2010-05,13.91
2010-06,13.73
2010-07,11.25
2010-08,9.88
2010-09,9.82
2010-10,9.7
2010-11,8.33
2010-12,9.47
2011-01,9.3
2011-02,8.82
2011-03,8.82
2011-04,9.41
2011-05,8.72
2011-06,8.62
2011-07,8.43
2011-08,8.99
2011-09,10.06
2011-10,9.39
2011-11,9.34
2011-12,7.1
2012-01,5.76
2012-02,8.04
2012-03,8.89
2012-04,9.8
2012-05,10.24
2012-06,10.37
2012-07,9.71
2012-08,10.49
2012-09,9.78
2012-10,10.02
2012-11,9.9
2012-12,10.56
2013-01,10.35
2013-02,10.51
2013-03,9.65
2013-04,8.97
2013-05,8.77
2013-06,9.91
2013-07,9.96
2013-08,9.99
2013-09,10.28
2013-10,10.54
2013-11,11.54
2013-12,9.64
2014-01,8.6
2014-02,7.88
2014-03,8.45
2014-04,8.48
2014-05,8.33
2014-06,6.77
2014-07,7.39
2014-08,7.03
2014-09,5.63
2014-10,4.62
2014-11,3.27
2014-12,4.28
2015-01,5.19
2015-02,5.37
2015-03,5.25
2015-04,4.87
2015-05,5.01
2015-06,5.4
2015-07,3.69
2015-08,3.74
2015-09,4.41
2015-10,5.0
2015-11,5.41
2015-12,5.61
2016-01,5.69
2016-02,5.26
2016-03,4.83
2016-04,5.47
2016-05,5.76
2016-06,5.77
2016-07,6.07
2016-08,5.05
2016-09,4.39
2016-10,4.2
2016-11,3.63
2016-12,3.41
2017-01,3.17
2017-02,3.65
2017-03,3.81
2017-04,2.99
2017-05,2.18
2017-06,1.54
2017-07,2.36
2017-08,3.28
2017-09,3.28
2017-10,3.58
2017-11,4.88
2017-12,5.21
2018-01,5.07
2018-02,4.44
2018-03,4.36
2018-04,4.58
2018-05,4.87
2018-06,4.84
2018-07,4.17
2018-08,3.69
2018-09,3.7
2018-10,3.31
2018-11,2.33
2018-12,2.11
2019-01,1.97
2019-02,2.57
2019-03,2.86
2019-04,2.99
2019-05,3.05
2019-06,3.18
2019-07,3.15
2019-08,3.28
2019-09,3.99
2019-10,4.69
2019-11,5.54
2019-12,7.35
2020-01,7.59
2020-02,6.58
2020-03,5.84
2020-04,7.22
2020-05,6.27
2020-06,6.23
2020-07,6.73
2020-08,6.69
2020-09,7.27
2020-10,7.61
2020-11,6.93
2020-12,4.59
2021-01,4.06
2021-02,5.03
2021-03,5.52
2021-04,4.23
2021-05,6.3
2021-06,6.26
2021-07,5.59
2021-08,5.3
2021-09,4.35
2021-10,4.48
2021-11,4.91
2021-12,5.59
2022-01,6.01
2022-02,6.07
2022-03,6.95
2022-04,7.79
2022-05,7.04
2022-06,7.01
2022-07,6.71
2022-08,7.0
2022-09,7.41
2022-10,6.77
2022-11,5.88
2022-12,5.78
