Date,France_CPI_Growth
1975-07,11.13
1975-08,10.97
1975-09,10.71
1975-10,10.23
1975-11,9.92
1975-12,9.63
1976-01,9.6
1976-02,9.52
1976-03,9.58
1976-04,9.57
1976-05,9.5
1976-06,9.16
1976-07,9.42
1976-08,9.49
1976-09,9.74
1976-10,9.92
1976-11,10.11
1976-12,9.86
1977-01,9.01
1977-02,9.01
1977-03,9.05
1977-04,9.52
1977-05,9.82
1977-06,10.21
1977-07,10.11
1977-08,9.92
1977-09,9.69
1977-10,9.55
1977-11,9.06
1977-12,8.98
1978-01,9.18
1978-02,9.23
1978-03,9.2
1978-04,8.97
1978-05,9.0
1978-06,8.99
1978-07,9.34
1978-08,9.4
1978-09,9.16
1978-10,9.3
1978-11,9.48
1978-12,9.71
1979-01,10.19
1979-02,10.12
1979-03,10.13
1979-04,10.03
1979-05,10.13
1979-06,10.21
1979-07,10.33
1979-08,10.81
1979-09,11.04
1979-10,11.33
1979-11,11.46
1979-12,11.79
1980-01,12.92
1980-02,13.37
1980-03,13.65
1980-04,13.94
1980-05,13.66
1980-06,13.53
1980-07,13.64
1980-08,13.59
1980-09,13.64
1980-10,13.51
1980-11,13.53
1980-12,13.73
1981-01,12.85
1981-02,12.71
1981-03,12.46
1981-04,12.62
1981-05,12.72
1981-06,13.03
1981-07,13.35
1981-08,13.61
1981-09,13.88
1981-10,14.12
1981-11,14.31
1981-12,13.89
1982-01,13.83
1982-02,13.89
1982-03,14.22
1982-04,13.93
1982-05,13.81
1982-06,13.49
1982-07,11.95
1982-08,10.94
1982-09,10.13
1982-10,9.32
1982-11,9.41
1982-12,9.69
1983-01,9.59
1983-02,9.25
1983-03,8.97
1983-04,9.11
1983-05,8.96
1983-06,8.82
1983-07,9.42
1983-08,9.7
1983-09,10.13
1983-10,10.39
1983-11,9.83
1983-12,9.29
1984-01,8.97
1984-02,8.91
1984-03,8.61
1984-04,7.91
1984-05,7.79
1984-06,7.67
1984-07,7.46
1984-08,7.42
1984-09,7.08
1984-10,6.95
1984-11,6.85
1984-12,6.69
1985-01,6.51
1985-02,6.4
1985-03,6.42
1985-04,6.52
1985-05,6.48
1985-06,6.38
1985-07,6.07
1985-08,5.64
1985-09,5.29
1985-10,4.92
1985-11,4.78
1985-12,4.7
1986-01,4.22
1986-02,3.43
1986-03,2.95
1986-04,2.61
1986-05,2.35
1986-06,2.27
1986-07,2.01
1986-08,2.01
1986-09,2.26
1986-10,2.19
1986-11,2.12
1986-12,2.12
1987-01,2.99
1987-02,3.44
1987-03,3.3
1987-04,3.48
1987-05,3.41
1987-06,3.27
1987-07,3.39
1987-08,3.51
1987-09,3.19
1987-10,3.18
1987-11,3.18
1987-12,3.12
1988-01,2.36
1988-02,2.36
1988-03,2.53
1988-04,2.46
1988-05,2.52
1988-06,2.63
1988-07,2.74
1988-08,2.8
1988-09,2.97
1988-10,2.97
1988-11,2.96
1988-12,3.08
1989-01,3.31
1989-02,3.42
1989-03,3.41
1989-04,3.57
1989-05,3.74
1989-06,3.55
1989-07,3.48
1989-08,3.36
1989-09,3.35
1989-10,3.57
1989-11,3.63
1989-12,3.56
1990-01,3.43
1990-02,3.36
1990-03,3.31
1990-04,3.24
1990-05,2.98
1990-06,2.85
1990-07,2.59
1990-08,3.09
1990-09,3.59
1990-10,3.58
1990-11,3.25
1990-12,3.06
1991-01,3.34
1991-02,3.4
1991-03,3.34
1991-04,3.09
1991-05,3.26
1991-06,3.53
1991-07,3.76
1991-08,3.21
1991-09,2.64
1991-10,2.72
1991-11,3.28
1991-12,3.02
1992-01,2.62
1992-02,2.79
1992-03,2.93
1992-04,2.83
1992-05,2.84
1992-06,2.53
1992-07,2.21
1992-08,2.03
1992-09,2.16
1992-10,1.92
1992-11,1.63
1992-12,1.91
1993-01,2.13
1993-02,2.05
1993-03,2.24
1993-04,2.15
1993-05,1.96
1993-06,1.96
1993-07,2.1
1993-08,2.16
1993-09,2.2
1993-10,2.09
1993-11,2.09
1993-12,2.11
1994-01,1.83
1994-02,1.77
1994-03,1.49
1994-04,1.64
1994-05,1.72
1994-06,1.73
1994-07,1.64
1994-08,1.62
1994-09,1.62
1994-10,1.65
1994-11,1.57
1994-12,1.59
1995-01,1.72
1995-02,1.74
1995-03,1.82
1995-04,1.67
1995-05,1.59
1995-06,1.64
1995-07,1.46
1995-08,1.96
1995-09,2.01
1995-10,1.9
1995-11,1.96
1995-12,2.09
1996-01,1.95
1996-02,2.02
1996-03,2.36
1996-04,2.36
1996-05,2.42
1996-06,2.3
1996-07,2.31
1996-08,1.62
1996-09,1.56
1996-10,1.72
1996-11,1.54
1996-12,1.66
1997-01,1.76
1997-02,1.59
1997-03,1.02
1997-04,0.94
1997-05,0.87
1997-06,0.96
1997-07,1.02
1997-08,1.47
1997-09,1.35
1997-10,1.04
1997-11,1.3
1997-12,1.14
1998-01,0.61
1998-02,0.77
1998-03,0.86
1998-04,1.03
1998-05,0.91
1998-06,1.02
1998-07,0.81
1998-08,0.62
1998-09,0.4
1998-10,0.4
1998-11,0.17
1998-12,0.22
1999-01,0.24
1999-02,0.18
1999-03,0.35
1999-04,0.42
1999-05,0.41
1999-06,0.32
1999-07,0.38
1999-08,0.49
1999-09,0.69
1999-10,0.81
1999-11,0.91
1999-12,1.25
2000-01,1.54
2000-02,1.36
2000-03,1.49
2000-04,1.21
2000-05,1.4
2000-06,1.66
2000-07,1.77
2000-08,1.79
2000-09,2.15
2000-10,1.95
2000-11,2.14
2000-12,1.64
2001-01,1.21
2001-02,1.36
2001-03,1.34
2001-04,1.83
2001-05,2.26
2001-06,2.06
2001-07,2.02
2001-08,1.82
2001-09,1.49
2001-10,1.68
2001-11,1.18
2001-12,1.35
2002-01,2.26
2002-02,2.1
2002-03,2.09
2002-04,1.99
2002-05,1.48
2002-06,1.41
2002-07,1.62
2002-08,1.85
2002-09,1.85
2002-10,1.95
2002-11,2.22
2002-12,2.27
2003-01,1.99
2003-02,2.57
2003-03,2.54
2003-04,2.01
2003-05,1.76
2003-06,1.97
2003-07,1.86
2003-08,1.87
2003-09,2.07
2003-10,2.13
2003-11,2.25
2003-12,2.18
2004-01,1.99
2004-02,1.71
2004-03,1.7
2004-04,2.11
2004-05,2.61
2004-06,2.45
2004-07,2.4
2004-08,2.38
2004-09,2.09
2004-10,2.13
2004-11,2.07
2004-12,2.08
2005-01,1.51
2005-02,1.71
2005-03,1.94
2005-04,1.88
2005-05,1.57
2005-06,1.65
2005-07,1.67
2005-08,1.84
2005-09,2.14
2005-10,1.85
2005-11,1.59
2005-12,1.6
2006-01,2.06
2006-02,1.83
2006-03,1.47
2006-04,1.71
2006-05,2.07
2006-06,1.96
2006-07,1.94
2006-08,1.88
2006-09,1.27
2006-10,1.06
2006-11,1.38
2006-12,1.49
2007-01,1.25
2007-02,1.05
2007-03,1.19
2007-04,1.25
2007-05,1.07
2007-06,1.19
2007-07,1.11
2007-08,1.18
2007-09,1.52
2007-10,2.0
2007-11,2.45
2007-12,2.59
2008-01,2.82
2008-02,2.85
2008-03,3.18
2008-04,3.02
2008-05,3.32
2008-06,3.57
2008-07,3.61
2008-08,3.16
2008-09,2.98
2008-10,2.66
2008-11,1.63
2008-12,1.0
2009-01,0.71
2009-02,0.87
2009-03,0.3
2009-04,0.13
2009-05,-0.26
2009-06,-0.49
2009-07,-0.73
2009-08,-0.18
2009-09,-0.36
2009-10,-0.21
2009-11,0.4
2009-12,0.91
2010-01,1.1
2010-02,1.28
2010-03,1.59
2010-04,1.68
2010-05,1.65
2010-06,1.51
2010-07,1.68
2010-08,1.39
2010-09,1.56
2010-10,1.59
2010-11,1.57
2010-12,1.76
2011-01,1.74
2011-02,1.66
2011-03,1.99
2011-04,2.08
2011-05,2.01
2011-06,2.11
2011-07,1.94
2011-08,2.23
2011-09,2.24
2011-10,2.35
2011-11,2.52
2011-12,2.46
2012-01,2.35
2012-02,2.29
2012-03,2.3
2012-04,2.09
2012-05,1.98
2012-06,1.93
2012-07,1.94
2012-08,2.08
2012-09,1.91
2012-10,1.85
2012-11,1.42
2012-12,1.33
2013-01,1.17
2013-02,1.04
2013-03,0.97
2013-04,0.69
2013-05,0.8
2013-06,0.93
2013-07,1.07
2013-08,0.87
2013-09,0.88
2013-10,0.57
2013-11,0.68
2013-12,0.71
2014-01,0.65
2014-02,0.92
2014-03,0.61
2014-04,0.72
2014-05,0.68
2014-06,0.48
2014-07,0.46
2014-08,0.44
2014-09,0.29
2014-10,0.45
2014-11,0.32
2014-12,0.06
2015-01,-0.38
2015-02,-0.27
2015-03,-0.07
2015-04,0.08
2015-05,0.3
2015-06,0.26
2015-07,0.17
2015-08,0.05
2015-09,0.03
2015-10,0.06
2015-11,0.04
2015-12,0.18
2016-01,0.22
2016-02,-0.19
2016-03,-0.15
2016-04,-0.19
2016-05,-0.02
2016-06,0.19
2016-07,0.22
2016-08,0.23
2016-09,0.39
2016-10,0.36
2016-11,0.53
2016-12,0.61
2017-01,1.34
2017-02,1.21
2017-03,1.15
2017-04,1.17
2017-05,0.81
2017-06,0.69
2017-07,0.72
2017-08,0.9
2017-09,0.99
2017-10,1.06
2017-11,1.18
2017-12,1.19
2018-01,1.33
2018-02,1.18
2018-03,1.56
2018-04,1.64
2018-05,2.02
2018-06,2.02
2018-07,2.29
2018-08,2.26
2018-09,2.2
2018-10,2.21
2018-11,1.89
2018-12,1.59
2019-01,1.24
2019-02,1.32
2019-03,1.11
2019-04,1.26
2019-05,0.94
2019-06,1.17
2019-07,1.07
2019-08,1.04
2019-09,0.91
2019-10,0.76
2019-11,1.03
2019-12,1.46
2020-01,1.49
2020-02,1.43
2020-03,0.67
2020-04,0.33
2020-05,0.36
2020-06,0.2
2020-07,0.78
2020-08,0.22
2020-09,0.05
2020-10,0.05
2020-11,0.2
2020-12,-0.02
2021-01,0.55
2021-02,0.56
2021-03,1.11
2021-04,1.24
2021-05,1.42
2021-06,1.48
2021-07,1.15
2021-08,1.87
2021-09,2.16
2021-10,2.62
2021-11,2.78
2021-12,2.75
2022-01,2.85
2022-02,3.63
2022-03,4.48
2022-04,4.83
2022-05,5.2
2022-06,5.84
2022-07,6.08
2022-08,5.91
2022-09,5.55
2022-10,6.2
2022-11,6.15
2022-12,5.85
