Date,United_Kingdom_CPI_Growth
1975-10,25.88
1975-11,25.17
1975-12,24.89
1976-01,23.35
1976-02,22.89
1976-03,21.16
1976-04,18.9
1976-05,15.39
1976-06,13.79
1976-07,12.85
1976-08,13.78
1976-09,14.31
1976-10,14.74
1976-11,14.98
1976-12,15.07
1977-01,16.57
1977-02,16.22
1977-03,16.73
1977-04,17.46
1977-05,17.07
1977-06,17.69
1977-07,17.59
1977-08,16.53
1977-09,15.63
1977-10,14.07
1977-11,13.03
1977-12,12.14
1978-01,9.92
1978-02,9.48
1978-03,9.1
1978-04,7.93
1978-05,7.7
1978-06,7.41
1978-07,7.78
1978-08,7.96
1978-09,7.81
1978-10,7.83
1978-11,8.06
1978-12,8.39
1979-01,9.34
1979-02,9.6
1979-03,9.8
1979-04,10.07
1979-05,10.32
1979-06,11.36
1979-07,15.65
1979-08,15.8
1979-09,16.48
1979-10,17.16
1979-11,17.38
1979-12,17.24
1980-01,18.39
1980-02,19.1
1980-03,19.75
1980-04,21.76
1980-05,21.91
1980-06,20.99
1980-07,16.94
1980-08,16.28
1980-09,15.87
1980-10,15.41
1980-11,15.31
1980-12,15.12
1981-01,13.05
1981-02,12.46
1981-03,12.61
1981-04,12.04
1981-05,11.74
1981-06,11.33
1981-07,10.9
1981-08,11.47
1981-09,11.4
1981-10,11.7
1981-11,11.97
1981-12,12.05
1982-01,12.01
1982-02,11.04
1982-03,10.35
1982-04,9.41
1982-05,9.49
1982-06,9.16
1982-07,8.72
1982-08,7.95
1982-09,7.28
1982-10,6.85
1982-11,6.26
1982-12,5.41
1983-01,4.93
1983-02,5.34
1983-03,4.63
1983-04,4.0
1983-05,3.7
1983-06,3.65
1983-07,4.18
1983-08,4.61
1983-09,5.14
1983-10,4.99
1983-11,4.85
1983-12,5.31
1984-01,5.12
1984-02,5.1
1984-03,5.25
1984-04,5.17
1984-05,5.12
1984-06,5.14
1984-07,4.46
1984-08,4.97
1984-09,4.71
1984-10,4.99
1984-11,4.94
1984-12,4.58
1985-01,5.02
1985-02,5.4
1985-03,6.09
1985-04,6.95
1985-05,7.0
1985-06,6.95
1985-07,6.85
1985-08,6.19
1985-09,5.87
1985-10,5.44
1985-11,5.45
1985-12,5.64
1986-01,5.48
1986-02,5.11
1986-03,4.2
1986-04,3.06
1986-05,2.73
1986-06,2.52
1986-07,2.42
1986-08,2.41
1986-09,3.04
1986-10,3.03
1986-11,3.55
1986-12,3.75
1987-01,3.95
1987-02,3.93
1987-03,4.03
1987-04,4.2
1987-05,4.19
1987-06,4.19
1987-07,4.41
1987-08,4.4
1987-09,4.17
1987-10,4.47
1987-11,4.13
1987-12,3.71
1988-01,3.3
1988-02,3.11
1988-03,3.34
1988-04,3.42
1988-05,3.75
1988-06,4.18
1988-07,4.29
1988-08,4.63
1988-09,4.75
1988-10,4.88
1988-11,5.02
1988-12,5.12
1989-01,5.54
1989-02,5.74
1989-03,5.93
1989-04,5.65
1989-05,6.04
1989-06,5.81
1989-07,5.81
1989-08,5.36
1989-09,5.75
1989-10,5.92
1989-11,5.68
1989-12,5.88
1990-01,5.86
1990-02,6.44
1990-03,6.2
1990-04,7.72
1990-05,8.06
1990-06,8.24
1990-07,8.24
1990-08,9.0
1990-09,9.13
1990-10,9.25
1990-11,9.21
1990-12,9.2
1991-01,8.78
1991-02,8.13
1991-03,8.29
1991-04,7.9
1991-05,7.64
1991-06,7.79
1991-07,7.43
1991-08,7.54
1991-09,6.94
1991-10,6.53
1991-11,6.33
1991-12,6.49
1992-01,6.14
1992-02,6.29
1992-03,6.26
1992-04,5.28
1992-05,5.07
1992-06,4.54
1992-07,4.55
1992-08,3.67
1992-09,3.66
1992-10,3.48
1992-11,3.31
1992-12,3.13
1993-01,3.14
1993-02,3.13
1993-03,3.11
1993-04,2.59
1993-05,2.25
1993-06,2.25
1993-07,2.26
1993-08,2.58
1993-09,2.73
1993-10,2.4
1993-11,2.08
1993-12,2.24
1994-01,2.56
1994-02,2.39
1994-03,2.22
1994-04,2.37
1994-05,2.36
1994-06,2.36
1994-07,2.05
1994-08,2.2
1994-09,1.88
1994-10,1.72
1994-11,2.19
1994-12,2.34
1995-01,2.34
1995-02,2.34
1995-03,2.48
1995-04,2.31
1995-05,2.46
1995-06,2.61
1995-07,2.94
1995-08,2.76
1995-09,3.07
1995-10,3.07
1995-11,2.91
1995-12,3.05
1996-01,2.9
1996-02,3.04
1996-03,2.88
1996-04,2.86
1996-05,2.85
1996-06,2.84
1996-07,2.55
1996-08,2.69
1996-09,2.68
1996-10,2.98
1996-11,3.13
1996-12,2.81
1997-01,2.67
1997-02,2.36
1997-03,2.21
1997-04,2.05
1997-05,2.04
1997-06,2.04
1997-07,2.49
1997-08,2.33
1997-09,2.17
1997-10,2.17
1997-11,2.02
1997-12,1.87
1998-01,1.73
1998-02,1.88
1998-03,2.02
1998-04,2.15
1998-05,2.14
1998-06,1.85
1998-07,1.71
1998-08,1.56
1998-09,1.7
1998-10,1.56
1998-11,1.7
1998-12,1.84
1999-01,1.99
1999-02,1.84
1999-03,2.12
1999-04,1.97
1999-05,1.82
1999-06,1.82
1999-07,1.69
1999-08,1.68
1999-09,1.53
1999-10,1.53
1999-11,1.53
1999-12,1.53
2000-01,1.11
2000-02,1.25
2000-03,0.97
2000-04,0.96
2000-05,0.96
2000-06,1.24
2000-07,1.24
2000-08,0.96
2000-09,1.37
2000-10,1.37
2000-11,1.51
2000-12,1.23
2001-01,1.24
2001-02,1.24
2001-03,1.23
2001-04,1.5
2001-05,1.9
2001-06,1.9
2001-07,1.64
2001-08,2.05
2001-09,1.63
2001-10,1.49
2001-11,1.22
2001-12,1.35
2002-01,1.77
2002-02,1.76
2002-03,1.76
2002-04,1.61
2002-05,1.2
2002-06,1.07
2002-07,1.48
2002-08,1.34
2002-09,1.33
2002-10,1.6
2002-11,1.6
2002-12,1.73
2003-01,1.47
2003-02,1.47
2003-03,1.6
2003-04,1.59
2003-05,1.32
2003-06,1.19
2003-07,1.32
2003-08,1.32
2003-09,1.32
2003-10,1.31
2003-11,1.31
2003-12,1.31
2004-01,1.45
2004-02,1.45
2004-03,1.18
2004-04,1.04
2004-05,1.43
2004-06,1.56
2004-07,1.44
2004-08,1.43
2004-09,1.17
2004-10,1.3
2004-11,1.56
2004-12,1.68
2005-01,1.69
2005-02,1.68
2005-03,1.94
2005-04,1.93
2005-05,1.93
2005-06,1.93
2005-07,2.32
2005-08,2.31
2005-09,2.57
2005-10,2.43
2005-11,2.17
2005-12,2.16
2006-01,2.17
2006-02,2.17
2006-03,2.03
2006-04,2.28
2006-05,2.39
2006-06,2.64
2006-07,2.52
2006-08,2.63
2006-09,2.5
2006-10,2.5
2006-11,2.75
2006-12,2.86
2007-01,2.62
2007-02,2.74
2007-03,2.99
2007-04,2.72
2007-05,2.46
2007-06,2.45
2007-07,1.96
2007-08,1.96
2007-09,1.95
2007-10,2.2
2007-11,2.31
2007-12,2.3
2008-01,2.44
2008-02,2.67
2008-03,2.54
2008-04,3.01
2008-05,3.36
2008-06,3.71
2008-07,4.21
2008-08,4.44
2008-09,4.79
2008-10,4.18
2008-11,3.8
2008-12,3.08
2009-01,2.97
2009-02,3.07
2009-03,2.83
2009-04,2.22
2009-05,2.09
2009-06,1.73
2009-07,1.62
2009-08,1.38
2009-09,0.91
2009-10,1.26
2009-11,1.49
2009-12,2.07
2010-01,2.54
2010-02,2.06
2010-03,2.41
2010-04,2.74
2010-05,2.5
2010-06,2.38
2010-07,2.27
2010-08,2.38
2010-09,2.38
2010-10,2.49
2010-11,2.6
2010-12,3.15
2011-01,3.38
2011-02,3.71
2011-03,3.58
2011-04,3.78
2011-05,3.77
2011-06,3.66
2011-07,3.89
2011-08,3.87
2011-09,4.54
2011-10,4.3
2011-11,4.18
2011-12,3.6
2012-01,3.16
2012-02,3.14
2012-03,3.02
2012-04,2.79
2012-05,2.57
2012-06,2.25
2012-07,2.35
2012-08,2.34
2012-09,2.01
2012-10,2.43
2012-11,2.43
2012-12,2.42
2013-01,2.43
2013-02,2.42
2013-03,2.52
2013-04,2.19
2013-05,2.4
2013-06,2.51
2013-07,2.4
2013-08,2.39
2013-09,2.39
2013-10,2.07
2013-11,1.86
2013-12,1.95
2014-01,1.75
2014-02,1.64
2014-03,1.53
2014-04,1.63
2014-05,1.43
2014-06,1.84
2014-07,1.63
2014-08,1.52
2014-09,1.32
2014-10,1.32
2014-11,1.11
2014-12,0.71
2015-01,0.51
2015-02,0.4
2015-03,0.3
2015-04,0.3
2015-05,0.5
2015-06,0.3
2015-07,0.4
2015-08,0.4
2015-09,0.2
2015-10,0.2
2015-11,0.4
2015-12,0.5
2016-01,0.71
2016-02,0.6
2016-03,0.8
2016-04,0.7
2016-05,0.7
2016-06,0.9
2016-07,0.9
2016-08,0.9
2016-09,1.3
2016-10,1.3
2016-11,1.5
2016-12,1.79
2017-01,1.9
2017-02,2.3
2017-03,2.29
2017-04,2.58
2017-05,2.68
2017-06,2.48
2017-07,2.58
2017-08,2.77
2017-09,2.76
2017-10,2.76
2017-11,2.85
2017-12,2.74
2018-01,2.65
2018-02,2.44
2018-03,2.34
2018-04,2.23
2018-05,2.32
2018-06,2.32
2018-07,2.32
2018-08,2.4
2018-09,2.21
2018-10,2.2
2018-11,2.1
2018-12,2.0
2019-01,1.82
2019-02,1.81
2019-03,1.81
2019-04,1.99
2019-05,1.89
2019-06,1.89
2019-07,1.98
2019-08,1.69
2019-09,1.69
2019-10,1.5
2019-11,1.5
2019-12,1.31
2020-01,1.79
2020-02,1.69
2020-03,1.5
2020-04,0.93
2020-05,0.65
2020-06,0.83
2020-07,1.11
2020-08,0.46
2020-09,0.74
2020-10,0.83
2020-11,0.55
2020-12,0.83
2021-01,0.92
2021-02,0.74
2021-03,1.01
2021-04,1.66
2021-05,2.21
2021-06,2.39
2021-07,2.01
2021-08,3.03
2021-09,2.93
2021-10,3.85
2021-11,4.58
2021-12,4.84
2022-01,4.85
2022-02,5.48
2022-03,6.2
2022-04,7.79
2022-05,7.84
2022-06,8.17
2022-07,8.8
2022-08,8.65
2022-09,8.81
2022-10,9.61
2022-11,9.38
2022-12,9.24
