Date,Korea_Rep._of_CPI_Growth
1991-05,8.51
1991-06,8.67
1991-07,9.04
1991-08,9.49
1991-09,9.44
1991-10,9.31
1991-11,9.69
1991-12,9.25
1992-01,7.72
1992-02,6.96
1992-03,6.78
1992-04,6.94
1992-05,7.29
1992-06,6.79
1992-07,6.56
1992-08,5.87
1992-09,5.66
1992-10,5.38
1992-11,4.38
1992-12,4.46
1993-01,4.51
1993-02,4.57
1993-03,4.79
1993-04,4.76
1993-05,4.47
1993-06,4.8
1993-07,4.28
1993-08,4.44
1993-09,4.59
1993-10,5.11
1993-11,5.48
1993-12,5.8
1994-01,6.35
1994-02,6.81
1994-03,6.4
1994-04,5.94
1994-05,5.68
1994-06,5.9
1994-07,6.88
1994-08,7.35
1994-09,6.5
1994-10,5.75
1994-11,6.08
1994-12,5.57
1995-01,5.2
1995-02,4.46
1995-03,4.62
1995-04,5.09
1995-05,5.22
1995-06,4.17
1995-07,3.6
1995-08,3.43
1995-09,4.68
1995-10,4.48
1995-11,4.11
1995-12,4.75
1996-01,4.8
1996-02,4.79
1996-03,4.44
1996-04,4.51
1996-05,4.9
1996-06,5.21
1996-07,5.4
1996-08,5.27
1996-09,4.53
1996-10,5.05
1996-11,5.26
1996-12,4.93
1997-01,4.69
1997-02,4.86
1997-03,4.54
1997-04,4.31
1997-05,3.81
1997-06,4.0
1997-07,3.7
1997-08,3.96
1997-09,4.24
1997-10,4.24
1997-11,4.33
1997-12,6.57
1998-01,8.29
1998-02,9.55
1998-03,8.96
1998-04,8.83
1998-05,8.17
1998-06,7.52
1998-07,7.32
1998-08,6.9
1998-09,6.87
1998-10,7.23
1998-11,6.78
1998-12,3.97
1999-01,1.46
1999-02,0.17
1999-03,0.51
1999-04,0.42
1999-05,0.76
1999-06,0.6
1999-07,0.25
1999-08,0.94
1999-09,0.76
1999-10,1.18
1999-11,1.35
1999-12,1.35
2000-01,1.89
2000-02,1.77
2000-03,2.11
2000-04,1.44
2000-05,1.1
2000-06,2.22
2000-07,2.98
2000-08,2.45
2000-09,3.52
2000-10,2.64
2000-11,2.2
2000-12,2.78
2001-01,3.44
2001-02,3.63
2001-03,4.01
2001-04,4.83
2001-05,5.26
2001-06,5.03
2001-07,4.81
2001-08,4.69
2001-09,3.25
2001-10,3.35
2001-11,3.37
2001-12,3.16
2002-01,2.64
2002-02,2.63
2002-03,2.31
2002-04,2.5
2002-05,2.98
2002-06,2.59
2002-07,2.11
2002-08,2.38
2002-09,3.06
2002-10,2.77
2002-11,3.45
2002-12,3.73
2003-01,3.81
2003-02,3.89
2003-03,4.52
2003-04,3.75
2003-05,3.18
2003-06,2.99
2003-07,3.19
2003-08,2.98
2003-09,3.33
2003-10,3.71
2003-11,3.43
2003-12,3.42
2004-01,3.4
2004-02,3.29
2004-03,3.07
2004-04,3.25
2004-05,3.35
2004-06,3.63
2004-07,4.36
2004-08,4.79
2004-09,3.85
2004-10,3.76
2004-11,3.32
2004-12,3.04
2005-01,3.4
2005-02,3.36
2005-03,2.99
2005-04,3.09
2005-05,3.08
2005-06,2.77
2005-07,2.55
2005-08,1.97
2005-09,2.48
2005-10,2.28
2005-11,2.49
2005-12,2.62
2006-01,2.22
2006-02,2.02
2006-03,2.0
2006-04,2.0
2006-05,2.3
2006-06,2.41
2006-07,2.4
2006-08,2.69
2006-09,2.48
2006-10,2.19
2006-11,2.1
2006-12,2.09
2007-01,1.68
2007-02,2.17
2007-03,2.16
2007-04,2.45
2007-05,2.35
2007-06,2.55
2007-07,2.54
2007-08,2.04
2007-09,2.32
2007-10,3.02
2007-11,3.52
2007-12,3.61
2008-01,3.89
2008-02,3.58
2008-03,3.94
2008-04,4.12
2008-05,4.87
2008-06,5.54
2008-07,5.9
2008-08,5.61
2008-09,5.11
2008-10,4.82
2008-11,4.53
2008-12,4.14
2009-01,3.75
2009-02,4.1
2009-03,3.88
2009-04,3.58
2009-05,2.73
2009-06,1.99
2009-07,1.62
2009-08,2.16
2009-09,2.16
2009-10,1.98
2009-11,2.44
2009-12,2.8
2010-01,3.52
2010-02,2.98
2010-03,2.46
2010-04,2.6
2010-05,2.7
2010-06,2.69
2010-07,2.53
2010-08,2.68
2010-09,3.41
2010-10,3.68
2010-11,2.99
2010-12,3.03
2011-01,3.44
2011-02,3.94
2011-03,4.13
2011-04,3.82
2011-05,3.91
2011-06,4.22
2011-07,4.51
2011-08,4.69
2011-09,3.76
2011-10,3.56
2011-11,4.17
2011-12,4.16
2012-01,3.35
2012-02,3.03
2012-03,2.66
2012-04,2.55
2012-05,2.54
2012-06,2.2
2012-07,1.48
2012-08,1.27
2012-09,2.09
2012-10,2.09
2012-11,1.63
2012-12,1.43
2013-01,1.63
2013-02,1.58
2013-03,1.46
2013-04,1.33
2013-05,1.15
2013-06,1.17
2013-07,1.62
2013-08,1.51
2013-09,0.98
2013-10,0.86
2013-11,1.2
2013-12,1.14
2014-01,1.08
2014-02,1.01
2014-03,1.29
2014-04,1.5
2014-05,1.67
2014-06,1.66
2014-07,1.59
2014-08,1.41
2014-09,1.15
2014-10,1.15
2014-11,0.97
2014-12,0.83
2015-01,0.97
2015-02,0.65
2015-03,0.47
2015-04,0.44
2015-05,0.55
2015-06,0.7
2015-07,0.74
2015-08,0.7
2015-09,0.5
2015-10,0.81
2015-11,0.82
2015-12,1.13
2016-01,0.62
2016-02,1.11
2016-03,0.84
2016-04,1.0
2016-05,0.78
2016-06,0.74
2016-07,0.37
2016-08,0.49
2016-09,1.35
2016-10,1.49
2016-11,1.53
2016-12,1.34
2017-01,2.24
2017-02,2.08
2017-03,2.28
2017-04,1.96
2017-05,2.0
2017-06,1.81
2017-07,2.17
2017-08,2.49
2017-09,2.0
2017-10,1.76
2017-11,1.15
2017-12,1.41
2018-01,0.76
2018-02,1.25
2018-03,1.22
2018-04,1.53
2018-05,1.47
2018-06,1.48
2018-07,1.12
2018-08,1.43
2018-09,2.09
2018-10,2.0
2018-11,2.04
2018-12,1.32
2019-01,0.79
2019-02,0.46
2019-03,0.37
2019-04,0.56
2019-05,0.68
2019-06,0.72
2019-07,0.61
2019-08,-0.04
2019-09,-0.43
2019-11,0.15
2019-12,0.74
2020-01,1.22
2020-02,0.85
2020-03,0.83
2020-04,0.02
2020-05,-0.21
2020-06,0.22
2020-07,0.45
2020-08,0.77
2020-09,0.95
2020-10,0.14
2020-11,0.61
2020-12,0.61
2021-01,0.95
2021-02,1.42
2021-03,1.9
2021-04,2.49
2021-05,2.62
2021-06,2.35
2021-07,2.64
2021-08,2.56
2021-09,2.41
2021-10,3.16
2021-11,3.78
2021-12,3.7
2022-01,3.61
2022-02,3.66
2022-03,4.14
2022-04,4.78
2022-05,5.4
2022-06,6.05
2022-07,6.34
2022-08,5.71
2022-09,5.58
2022-10,5.67
2022-11,5.04
2022-12,5.04
