Date,Canada_CPI_Growth
1977-07,8.31
1977-08,8.31
1977-09,8.57
1977-10,8.83
1977-11,9.12
1977-12,9.4
1978-01,9.01
1978-02,9.26
1978-03,8.84
1978-04,8.48
1978-05,8.68
1978-06,9.25
1978-07,9.44
1978-08,9.73
1978-09,8.48
1978-10,8.99
1978-11,8.93
1978-12,8.6
1979-01,8.55
1979-02,9.04
1979-03,9.24
1979-04,9.78
1979-05,9.37
1979-06,9.02
1979-07,8.36
1979-08,8.33
1979-09,9.7
1979-10,9.04
1979-11,9.52
1979-12,9.76
1980-01,9.71
1980-02,9.59
1980-03,9.23
1980-04,9.16
1980-05,9.32
1980-06,10.03
1980-07,9.95
1980-08,10.92
1980-09,10.57
1980-10,10.73
1980-11,11.11
1980-12,11.06
1981-01,12.2
1981-02,12.06
1981-03,12.68
1981-04,12.59
1981-05,12.21
1981-06,12.76
1981-07,12.9
1981-08,12.53
1981-09,12.67
1981-10,12.78
1981-11,12.17
1981-12,12.12
1982-01,11.3
1982-02,11.39
1982-03,11.46
1982-04,11.39
1982-05,11.91
1982-06,11.31
1982-07,11.02
1982-08,10.54
1982-09,10.26
1982-10,9.96
1982-11,9.69
1982-12,9.27
1983-01,8.24
1983-02,7.58
1983-03,7.29
1983-04,6.69
1983-05,5.5
1983-06,5.44
1983-07,5.42
1983-08,5.58
1983-09,5.01
1983-10,4.97
1983-11,4.42
1983-12,4.59
1984-01,5.49
1984-02,5.46
1984-03,4.53
1984-04,4.88
1984-05,4.7
1984-06,4.3
1984-07,4.11
1984-08,3.58
1984-09,3.75
1984-10,3.38
1984-11,3.89
1984-12,3.72
1985-01,3.52
1985-02,3.67
1985-03,3.67
1985-04,3.82
1985-05,4.15
1985-06,3.96
1985-07,4.11
1985-08,4.11
1985-09,4.11
1985-10,4.09
1985-11,3.91
1985-12,4.4
1986-01,4.38
1986-02,4.19
1986-03,4.34
1986-04,3.84
1986-05,4.15
1986-06,3.81
1986-07,4.11
1986-08,4.27
1986-09,4.1
1986-10,4.4
1986-11,4.55
1986-12,4.21
1987-01,4.04
1987-02,4.02
1987-03,4.01
1987-04,4.62
1987-05,4.59
1987-06,4.74
1987-07,4.55
1987-08,4.55
1987-09,4.55
1987-10,4.22
1987-11,4.2
1987-12,4.19
1988-01,4.03
1988-02,4.01
1988-03,4.3
1988-04,3.98
1988-05,3.95
1988-06,3.94
1988-07,3.92
1988-08,3.91
1988-09,4.06
1988-10,4.34
1988-11,4.03
1988-12,3.88
1989-01,4.3
1989-02,4.57
1989-03,4.55
1989-04,4.53
1989-05,5.07
1989-06,5.2
1989-07,5.31
1989-08,5.3
1989-09,5.29
1989-10,5.12
1989-11,5.26
1989-12,5.26
1990-01,5.5
1990-02,5.46
1990-03,5.3
1990-04,5.01
1990-05,4.42
1990-06,4.41
1990-07,4.11
1990-08,4.11
1990-09,4.23
1990-10,4.74
1990-11,5.12
1990-12,4.99
1991-01,6.91
1991-02,6.22
1991-03,6.19
1991-04,6.19
1991-05,6.16
1991-06,6.27
1991-07,5.99
1991-08,5.98
1991-09,5.46
1991-10,4.4
1991-11,4.13
1991-12,3.75
1992-01,1.59
1992-02,1.59
1992-03,1.58
1992-04,1.7
1992-05,1.33
1992-06,1.08
1992-07,1.2
1992-08,1.08
1992-09,1.32
1992-10,1.57
1992-11,1.68
1992-12,2.17
1993-01,2.04
1993-02,2.4
1993-03,1.91
1993-04,1.79
1993-05,1.91
1993-06,1.67
1993-07,1.66
1993-08,1.78
1993-09,1.78
1993-10,1.9
1993-11,1.89
1993-12,1.65
1994-01,1.29
1994-02,0.12
1994-03,0.23
1994-04,0.23
1994-05,-0.23
1994-07,0.12
1994-08,0.12
1994-09,0.23
1994-10,-0.23
1994-11,-0.12
1994-12,0.23
1995-01,0.58
1995-02,1.87
1995-03,2.11
1995-04,2.46
1995-05,2.93
1995-06,2.69
1995-07,2.57
1995-08,2.21
1995-09,2.21
1995-10,2.33
1995-11,2.09
1995-12,1.74
1996-01,1.62
1996-02,1.26
1996-03,1.49
1996-04,1.37
1996-05,1.48
1996-06,1.48
1996-07,1.25
1996-08,1.48
1996-09,1.48
1996-10,1.82
1996-11,1.93
1996-12,2.16
1997-01,2.16
1997-02,2.27
1997-03,1.92
1997-04,1.69
1997-05,1.46
1997-06,1.69
1997-07,1.69
1997-08,1.8
1997-09,1.68
1997-10,1.46
1997-11,0.89
1997-12,0.78
1998-01,1.11
1998-02,1.0
1998-03,1.0
1998-04,0.89
1998-05,1.11
1998-06,0.99
1998-07,0.99
1998-08,0.88
1998-09,0.66
1998-10,1.1
1998-11,1.22
1998-12,1.0
1999-01,0.66
1999-02,0.66
1999-03,0.99
1999-04,1.65
1999-05,1.53
1999-06,1.64
1999-07,1.86
1999-08,2.08
1999-09,2.63
1999-10,2.29
1999-11,2.18
1999-12,2.63
2000-01,2.19
2000-02,2.73
2000-03,3.04
2000-04,2.16
2000-05,2.37
2000-06,2.8
2000-07,2.9
2000-08,2.57
2000-09,2.67
2000-10,2.77
2000-11,3.21
2000-12,3.2
2001-01,2.99
2001-02,2.87
2001-03,2.43
2001-04,3.49
2001-05,3.9
2001-06,3.35
2001-07,2.71
2001-08,2.82
2001-09,2.6
2001-10,1.87
2001-11,0.62
2001-12,0.72
2002-01,1.35
2002-02,1.45
2002-03,1.85
2002-04,1.74
2002-05,1.12
2002-06,1.22
2002-07,2.13
2002-08,2.54
2002-09,2.33
2002-10,3.16
2002-11,4.42
2002-12,3.8
2003-01,4.51
2003-02,4.68
2003-03,4.25
2003-04,2.91
2003-05,2.81
2003-06,2.6
2003-07,2.09
2003-08,1.98
2003-09,2.18
2003-10,1.58
2003-11,1.58
2003-12,2.08
2004-01,1.27
2004-02,0.68
2004-03,0.78
2004-04,1.66
2004-05,2.44
2004-06,2.54
2004-07,2.34
2004-08,1.85
2004-09,1.84
2004-10,2.33
2004-11,2.42
2004-12,2.13
2005-01,1.94
2005-02,2.13
2005-03,2.31
2005-04,2.4
2005-05,1.62
2005-06,1.71
2005-07,2.0
2005-08,2.58
2005-09,3.24
2005-10,2.57
2005-11,1.99
2005-12,2.09
2006-01,2.75
2006-02,2.18
2006-03,2.16
2006-04,2.44
2006-05,2.81
2006-06,2.43
2006-07,2.33
2006-08,2.14
2006-09,0.74
2006-10,1.02
2006-11,1.39
2006-12,1.67
2007-01,1.11
2007-02,2.04
2007-03,2.3
2007-04,2.2
2007-05,2.19
2007-06,2.19
2007-07,2.19
2007-08,1.73
2007-09,2.47
2007-10,2.39
2007-11,2.47
2007-12,2.38
2008-01,2.19
2008-02,1.81
2008-03,1.35
2008-04,1.7
2008-05,2.23
2008-06,3.13
2008-07,3.39
2008-08,3.49
2008-09,3.4
2008-10,2.6
2008-11,1.97
2008-12,1.16
2009-01,1.07
2009-02,1.43
2009-03,1.24
2009-04,0.35
2009-05,0.09
2009-06,-0.26
2009-07,-0.95
2009-08,-0.78
2009-09,-0.86
2009-10,0.09
2009-11,0.96
2009-12,1.32
2010-01,1.86
2010-02,1.58
2010-03,1.4
2010-04,1.84
2010-05,1.39
2010-06,0.96
2010-07,1.83
2010-08,1.74
2010-09,1.92
2010-10,2.44
2010-11,2.0
2010-12,2.35
2011-01,2.35
2011-02,2.16
2011-03,3.29
2011-04,3.28
2011-05,3.7
2011-06,3.1
2011-07,2.74
2011-08,3.08
2011-09,3.17
2011-10,2.9
2011-11,2.89
2011-12,2.3
2012-01,2.46
2012-02,2.62
2012-03,1.93
2012-04,2.0
2012-05,1.24
2012-06,1.5
2012-07,1.25
2012-08,1.25
2012-09,1.16
2012-10,1.16
2012-11,0.83
2012-12,0.83
2013-01,0.5
2013-02,1.24
2013-03,0.99
2013-04,0.41
2013-05,0.74
2013-06,1.15
2013-07,1.32
2013-08,1.07
2013-09,1.07
2013-10,0.65
2013-11,0.9
2013-12,1.24
2014-01,1.48
2014-02,1.14
2014-03,1.55
2014-04,2.04
2014-05,2.28
2014-06,2.36
2014-07,2.11
2014-08,2.11
2014-09,2.03
2014-10,2.36
2014-11,1.95
2014-12,1.47
2015-01,0.97
2015-02,1.05
2015-03,1.2
2015-04,0.8
2015-05,0.87
2015-06,1.03
2015-07,1.27
2015-08,1.27
2015-09,1.03
2015-10,1.03
2015-11,1.36
2015-12,1.61
2016-01,2.01
2016-02,1.36
2016-03,1.27
2016-04,1.66
2016-05,1.5
2016-06,1.49
2016-07,1.26
2016-08,1.1
2016-09,1.34
2016-10,1.49
2016-11,1.18
2016-12,1.5
2017-01,2.13
2017-02,2.05
2017-03,1.56
2017-04,1.64
2017-05,1.32
2017-06,1.01
2017-07,1.16
2017-08,1.4
2017-09,1.55
2017-10,1.39
2017-11,2.1
2017-12,1.87
2018-01,1.7
2018-02,2.16
2018-03,2.31
2018-04,2.22
2018-05,2.22
2018-06,2.45
2018-07,2.99
2018-08,2.84
2018-09,2.22
2018-10,2.44
2018-11,1.68
2018-12,1.99
2019-01,1.44
2019-02,1.51
2019-03,1.88
2019-04,2.03
2019-05,2.4
2019-06,2.02
2019-07,2.01
2019-08,1.94
2019-09,1.87
2019-10,1.86
2019-11,2.17
2019-12,2.25
2020-01,2.4
2020-02,2.16
2020-03,0.89
2020-04,-0.22
2020-05,-0.37
2020-06,0.66
2020-07,0.15
2020-08,0.15
2020-09,0.51
2020-10,0.66
2020-11,0.95
2020-12,0.73
2021-01,1.02
2021-02,1.09
2021-03,2.2
2021-04,3.39
2021-05,3.6
2021-06,3.06
2021-07,3.72
2021-08,4.09
2021-09,4.38
2021-10,4.65
2021-11,4.72
2021-12,4.8
2022-01,5.14
2022-02,5.69
2022-03,6.66
2022-04,6.77
2022-05,7.73
2022-06,8.13
2022-07,7.59
2022-08,7.01
2022-09,6.86
2022-10,6.88
2022-11,6.8
2022-12,6.32
