Date,Italy_CPI_Growth
2013-03,1.61
2013-04,1.13
2013-05,1.13
2013-06,1.23
2013-07,1.23
2013-08,1.22
2013-09,0.94
2013-10,0.75
2013-11,0.66
2013-12,0.66
2014-01,0.66
2014-02,0.47
2014-03,0.37
2014-04,0.56
2014-05,0.47
2014-06,0.28
2014-07,0.09
2014-08,-0.09
2014-09,-0.19
2014-10,0.09
2014-11,0.19
2015-01,-0.56
2015-02,-0.09
2015-03,-0.09
2015-04,-0.09
2015-05,0.09
2015-06,0.19
2015-07,0.19
2015-08,0.19
2015-09,0.19
2015-10,0.28
2015-11,0.09
2015-12,0.09
2016-01,0.25
2016-02,-0.32
2016-03,-0.21
2016-04,-0.5
2016-05,-0.29
2016-06,-0.38
2016-07,-0.09
2016-08,-0.07
2016-09,0.1
2016-10,-0.19
2016-11,0.09
2016-12,0.49
2017-01,1.0
2017-02,1.61
2017-03,1.41
2017-04,1.91
2017-05,1.4
2017-06,1.2
2017-07,1.1
2017-08,1.2
2017-09,1.1
2017-10,1.0
2017-11,0.9
2017-12,0.9
2018-01,0.89
2018-02,0.5
2018-03,0.79
2018-04,0.49
2018-05,0.99
2018-06,1.29
2018-07,1.48
2018-08,1.58
2018-09,1.38
2018-10,1.58
2018-11,1.59
2018-12,1.09
2019-01,0.89
2019-02,0.99
2019-03,0.98
2019-04,1.08
2019-05,0.78
2019-06,0.68
2019-07,0.39
2019-08,0.39
2019-09,0.29
2019-10,0.19
2019-11,0.2
2019-12,0.49
2020-01,0.49
2020-02,0.29
2020-03,0.1
2020-05,-0.19
2020-06,-0.19
2020-07,-0.39
2020-08,-0.48
2020-09,-0.58
2020-10,-0.29
2020-11,-0.19
2020-12,-0.19
2021-01,0.39
2021-02,0.58
2021-03,0.78
2021-04,1.07
2021-05,1.26
2021-06,1.26
2021-07,1.95
2021-08,2.04
2021-09,2.54
2021-10,3.02
2021-11,3.71
2021-12,3.9
2022-01,4.84
2022-02,5.71
2022-03,6.46
2022-04,5.96
2022-05,6.82
2022-06,7.97
2022-07,7.93
2022-08,8.37
2022-09,8.87
2022-10,11.84
2022-11,11.77
2022-12,11.63
