Date,South_Africa_CPI_Growth
1974-12,14.0
1975-01,13.73
1975-02,15.69
1975-03,13.46
1975-04,15.38
1975-05,13.21
1975-06,12.96
1975-07,14.81
1975-08,12.73
1975-09,12.5
1975-10,12.5
1975-11,12.28
1975-12,12.28
1976-01,10.34
1976-02,10.17
1976-03,11.86
1976-04,11.67
1976-05,11.67
1976-06,11.48
1976-07,9.68
1976-08,12.9
1976-09,11.11
1976-10,11.11
1976-11,9.37
1976-12,10.94
1977-01,12.5
1977-02,10.77
1977-03,10.61
1977-04,11.94
1977-05,11.94
1977-06,10.29
1977-07,11.76
1977-08,10.0
1977-09,10.0
1977-10,11.43
1977-11,11.43
1977-12,11.27
1978-01,11.11
1978-02,11.11
1978-03,9.59
1978-04,9.33
1978-05,9.33
1978-06,9.33
1978-07,11.84
1978-08,11.69
1978-09,12.99
1978-10,12.82
1978-11,12.82
1978-12,11.39
1979-01,11.25
1979-02,12.5
1979-03,13.75
1979-04,12.2
1979-05,12.2
1979-06,13.41
1979-07,14.12
1979-08,13.95
1979-09,13.79
1979-10,13.64
1979-11,13.64
1979-12,14.77
1980-01,13.48
1980-02,13.33
1980-03,13.19
1980-04,13.04
1980-05,14.13
1980-06,15.05
1980-07,12.37
1980-08,11.22
1980-09,13.13
1980-10,14.0
1980-11,15.0
1980-12,15.84
1981-01,15.84
1981-02,16.67
1981-03,15.53
1981-04,15.38
1981-05,15.24
1981-06,14.02
1981-07,14.68
1981-08,16.51
1981-09,16.07
1981-10,14.91
1981-11,14.78
1981-12,13.68
1982-01,13.68
1982-02,13.45
1982-03,15.97
1982-04,16.67
1982-05,16.53
1982-06,16.39
1982-07,14.4
1982-08,14.17
1982-09,13.08
1982-10,13.74
1982-11,14.39
1982-12,13.53
1983-01,14.29
1983-02,14.81
1983-03,13.04
1983-04,12.86
1983-05,12.77
1983-06,11.97
1983-07,12.59
1983-08,12.41
1983-09,11.56
1983-10,10.74
1983-11,10.6
1983-12,10.6
1984-01,10.53
1984-02,9.68
1984-03,10.26
1984-04,10.76
1984-05,11.32
1984-06,11.95
1984-07,11.8
1984-08,11.66
1984-09,11.59
1984-10,12.73
1984-11,12.57
1984-12,13.17
1985-01,13.69
1985-02,16.47
1985-03,15.12
1985-04,16.0
1985-05,15.82
1985-06,16.85
1985-07,16.11
1985-08,15.93
1985-09,16.94
1985-10,16.67
1985-11,17.02
1985-12,18.52
1986-01,20.94
1986-02,17.68
1986-03,19.19
1986-04,18.23
1986-05,17.07
1986-06,16.83
1986-07,18.66
1986-08,18.96
1986-09,19.63
1986-10,19.35
1986-11,19.09
1986-12,18.3
1987-01,16.02
1987-02,16.74
1987-03,16.95
1987-04,16.67
1987-05,17.5
1987-06,17.28
1987-07,15.73
1987-08,16.33
1987-09,15.62
1987-10,15.44
1987-11,15.27
1987-12,14.72
1988-01,14.18
1988-02,13.24
1988-03,13.41
1988-04,12.86
1988-05,13.12
1988-06,12.28
1988-07,12.89
1988-08,12.33
1988-09,12.16
1988-10,12.37
1988-11,12.25
1988-12,12.5
1989-01,13.4
1989-02,13.64
1989-03,13.74
1989-04,14.24
1989-05,14.73
1989-06,15.63
1989-07,15.43
1989-08,15.55
1989-09,15.06
1989-10,14.58
1989-11,15.04
1989-12,15.5
1990-01,15.27
1990-02,15.14
1990-03,14.89
1990-04,14.4
1990-05,13.93
1990-06,13.51
1990-07,13.1
1990-08,13.46
1990-09,14.4
1990-10,14.29
1990-11,15.13
1990-12,14.43
1991-01,14.25
1991-02,14.89
1991-03,14.18
1991-04,14.77
1991-05,15.35
1991-06,15.24
1991-07,15.84
1991-08,15.58
1991-09,15.33
1991-10,16.59
1991-11,15.37
1991-12,16.37
1992-01,16.19
1992-02,15.77
1992-03,15.63
1992-04,15.4
1992-05,14.55
1992-06,15.08
1992-07,14.69
1992-08,14.29
1992-09,13.49
1992-10,11.7
1992-11,11.2
1992-12,9.51
1993-01,9.6
1993-02,8.96
1993-03,9.63
1993-04,11.15
1993-05,10.71
1993-06,10.05
1993-07,9.96
1993-08,9.33
1993-09,8.92
1993-10,9.6
1993-11,9.2
1993-12,9.55
1994-01,9.97
1994-02,9.93
1994-03,9.12
1994-04,6.91
1994-05,7.21
1994-06,7.34
1994-07,8.09
1994-08,9.18
1994-09,10.11
1994-10,9.71
1994-11,9.86
1994-12,9.83
1995-01,9.69
1995-02,9.81
1995-03,10.37
1995-04,11.08
1995-05,10.86
1995-06,10.03
1995-07,8.98
1995-08,7.67
1995-09,6.56
1995-10,6.39
1995-11,6.37
1995-12,6.93
1996-01,6.84
1996-02,6.52
1996-03,6.17
1996-04,5.54
1996-05,5.79
1996-06,6.91
1996-07,7.14
1996-08,7.4
1996-09,8.34
1996-10,9.0
1996-11,9.12
1996-12,9.31
1997-01,9.33
1997-02,9.85
1997-03,9.64
1997-04,9.84
1997-05,9.52
1997-06,8.79
1997-07,9.1
1997-08,8.67
1997-09,8.08
1997-10,7.63
1997-11,6.86
1997-12,6.17
1998-01,5.73
1998-02,5.33
1998-03,5.42
1998-04,5.02
1998-05,5.12
1998-06,5.23
1998-07,6.58
1998-08,7.63
1998-09,9.0
1998-10,8.95
1998-11,9.33
1998-12,8.95
1999-01,8.88
1999-02,8.63
1999-03,7.89
1999-04,7.62
1999-05,7.02
1999-06,7.22
1999-07,4.85
1999-08,3.27
1999-09,1.93
1999-10,1.71
1999-11,1.92
1999-12,2.24
2000-01,2.65
2000-02,2.33
2000-03,3.39
2000-04,4.55
2000-05,5.08
2000-06,5.16
2000-07,5.99
2000-08,6.86
2000-09,6.94
2000-10,7.03
2000-11,7.02
2000-12,6.99
2001-01,7.12
2001-02,7.76
2001-03,7.38
2001-04,6.47
2001-05,6.45
2001-06,6.31
2001-07,5.26
2001-08,4.64
2001-09,4.42
2001-10,4.02
2001-11,4.31
2001-12,4.59
2002-01,5.01
2002-02,5.97
2002-03,6.32
2002-04,7.62
2002-05,7.73
2002-06,8.14
2002-07,9.96
2002-08,10.76
2002-09,11.42
2002-10,13.19
2002-11,14.01
2002-12,13.51
2003-01,12.54
2003-02,11.07
2003-03,10.62
2003-04,9.01
2003-05,8.48
2003-06,7.37
2003-07,5.15
2003-08,4.82
2003-09,3.2
2003-10,0.9
2003-11,-1.43
2003-12,-1.63
2004-01,-2.0
2004-02,-1.59
2004-03,-1.7
2004-04,-1.82
2004-05,-1.8
2004-06,-1.54
2004-07,-0.84
2004-08,-1.25
2004-09,-0.55
2004-10,0.51
2004-11,2.26
2004-12,2.2
2005-01,2.06
2005-02,1.8
2005-03,1.94
2005-04,2.13
2005-05,1.87
2005-06,1.58
2005-07,2.13
2005-08,2.5
2005-09,2.56
2005-10,2.39
2005-11,1.77
2005-12,2.02
2006-01,2.1
2006-02,2.18
2006-03,1.86
2006-04,1.8
2006-05,2.43
2006-06,3.4
2006-07,3.35
2006-08,3.88
2006-09,4.06
2006-10,4.48
2006-11,4.51
2006-12,4.82
2007-01,5.18
2007-02,4.91
2007-03,5.33
2007-04,5.96
2007-05,6.05
2007-06,6.03
2007-07,6.21
2007-08,6.15
2007-09,6.48
2007-10,6.9
2007-11,7.23
2007-12,7.57
2008-01,8.3
2008-02,8.88
2008-03,9.68
2008-04,9.42
2008-05,9.79
2008-06,10.53
2008-07,11.31
2008-08,11.25
2008-09,11.26
2008-10,10.67
2008-11,10.32
2008-12,9.34
2009-01,8.44
2009-02,9.02
2009-03,9.09
2009-04,8.84
2009-05,8.37
2009-06,7.27
2009-07,6.58
2009-08,6.35
2009-09,5.93
2009-10,5.52
2009-11,5.52
2009-12,6.11
2010-01,5.88
2010-02,5.45
2010-03,4.81
2010-04,4.43
2010-05,4.23
2010-06,3.85
2010-07,3.63
2010-08,3.25
2010-09,3.25
2010-10,3.43
2010-11,3.61
2010-12,3.42
2011-01,3.58
2011-02,3.57
2011-03,3.89
2011-04,4.24
2011-05,4.59
2011-06,5.11
2011-07,5.25
2011-08,5.25
2011-09,5.77
2011-10,6.28
2011-11,6.1
2011-12,6.26
2012-01,6.23
2012-02,6.2
2012-03,6.12
2012-04,6.27
2012-05,5.73
2012-06,5.7
2012-07,4.83
2012-08,5.32
2012-09,5.45
2012-10,5.42
2012-11,5.75
2012-12,5.73
2013-01,5.54
2013-02,6.0
2013-03,6.09
2013-04,5.74
2013-05,5.58
2013-06,5.4
2013-07,6.51
2013-08,6.32
2013-09,5.96
2013-10,5.61
2013-11,5.43
2013-12,5.26
2014-01,5.71
2014-02,5.81
2014-03,5.89
2014-04,6.33
2014-05,6.8
2014-06,6.78
2014-07,6.56
2014-08,6.54
2014-09,6.07
2014-10,5.9
2014-11,5.74
2014-12,5.44
2015-01,4.53
2015-02,4.19
2015-03,4.14
2015-04,4.54
2015-05,4.38
2015-06,4.65
2015-07,4.62
2015-08,4.46
2015-09,4.46
2015-10,4.6
2015-11,4.74
2015-12,5.16
2016-01,6.15
2016-02,6.93
2016-03,6.44
2016-04,6.51
2016-05,6.5
2016-06,6.47
2016-07,6.55
2016-08,6.28
2016-09,6.41
2016-10,6.66
2016-11,6.91
2016-12,7.03
2017-01,6.84
2017-02,6.49
2017-03,6.18
2017-04,5.22
2017-05,5.34
2017-06,5.06
2017-07,4.27
2017-08,4.52
2017-09,4.89
2017-10,4.74
2017-11,4.35
2017-12,4.46
2018-01,4.31
2018-02,3.78
2018-03,3.76
2018-04,4.24
2018-05,4.35
2018-06,4.34
2018-07,5.05
2018-08,4.81
2018-09,4.9
2018-10,5.01
2018-11,5.13
2018-12,4.51
2019-01,3.9
2019-02,4.11
2019-03,4.44
2019-04,4.41
2019-05,4.4
2019-06,4.5
2019-07,4.01
2019-08,4.36
2019-09,4.1
2019-10,3.63
2019-11,3.63
2019-12,3.97
2020-01,4.32
2020-02,4.51
2020-03,4.14
2020-04,2.89
2020-05,2.0
2020-06,2.1
2020-07,3.19
2020-08,3.08
2020-09,2.85
2020-10,3.29
2020-11,3.17
2020-12,3.06
2021-01,3.27
2021-02,2.91
2021-03,3.11
2021-04,4.54
2021-05,5.22
2021-06,5.09
2021-07,4.7
2021-08,5.01
2021-09,5.11
2021-10,4.98
2021-11,5.41
2021-12,5.93
2022-01,5.7
2022-02,5.66
2022-03,6.15
2022-04,6.0
2022-05,6.61
2022-06,7.42
2022-07,8.05
2022-08,7.92
2022-09,7.8
2022-10,7.78
2022-11,7.75
2022-12,7.5
