Security,BPSWS2 BGN Curncy
12/31/2004,4.765
11/30/2004,4.73
10/29/2004,4.86
9/30/2004,4.98
8/31/2004,5.08
7/30/2004,5.34
6/30/2004,5.255
5/31/2004,5.32
4/30/2004,4.955
3/31/2004,4.78
2/27/2004,4.625
1/30/2004,4.69
12/31/2003,4.5825
11/28/2003,4.8425
10/31/2003,4.8075
9/30/2003,4.1275
8/29/2003,4.2775
7/31/2003,3.9425
6/30/2003,3.5125
5/30/2003,3.485
4/30/2003,3.5775
3/31/2003,3.5775
2/28/2003,3.4175
1/31/2003,3.86
12/31/2002,4.025
11/29/2002,4.425
10/31/2002,4.055
9/30/2002,3.95
8/30/2002,4.31
7/31/2002,4.435
6/28/2002,4.96
5/31/2002,5.155
4/30/2002,5.08
3/29/2002,5.27
2/28/2002,4.9
1/31/2002,4.99
12/31/2001,5.025
11/30/2001,4.62
10/31/2001,4.44
9/28/2001,4.81
8/31/2001,5.21
7/31/2001,5.45
6/29/2001,5.87
5/31/2001,5.415
4/30/2001,5.285
3/30/2001,5.105
2/28/2001,5.35
1/31/2001,5.445
12/29/2000,5.73
