Date,Canada_Exchange_Rate
1994-03,84.87
1994-04,83.63
1994-05,82.97
1994-06,82.51
1994-07,81.69
1994-08,81.83
1994-09,82.89
1994-10,82.44
1994-11,81.72
1994-12,81.26
1995-01,79.89
1995-02,80.46
1995-03,78.97
1995-04,79.6
1995-05,80.55
1995-06,79.3
1995-07,80.43
1995-08,81.78
1995-09,82.76
1995-10,82.55
1995-11,82.32
1995-12,81.39
1996-01,81.88
1996-02,81.14
1996-03,81.81
1996-04,82.14
1996-05,81.51
1996-06,81.72
1996-07,81.21
1996-08,80.78
1996-09,80.98
1996-10,82.3
1996-11,82.93
1996-12,81.67
1997-01,82.73
1997-02,82.75
1997-03,81.85
1997-04,80.52
1997-05,81.0
1997-06,80.68
1997-07,81.09
1997-08,80.66
1997-09,80.68
1997-10,80.49
1997-11,79.11
1997-12,79.09
1998-01,79.02
1998-02,79.17
1998-03,80.03
1998-04,79.08
1998-05,78.3
1998-06,77.44
1998-07,76.13
1998-08,73.93
1998-09,74.09
1998-10,72.39
1998-11,72.61
1998-12,72.05
1999-01,73.21
1999-02,74.53
1999-03,73.84
1999-04,75.36
1999-05,76.76
1999-06,76.59
1999-07,75.5
1999-08,74.95
1999-09,75.6
1999-10,75.34
1999-11,75.83
1999-12,75.62
2000-01,76.72
2000-02,77.0
2000-03,76.43
2000-04,75.89
2000-05,75.11
2000-06,75.86
2000-07,75.88
2000-08,75.78
2000-09,75.93
2000-10,74.86
2000-11,73.6
2000-12,74.5
2001-01,75.0
2001-02,74.26
2001-03,72.7
2001-04,73.26
2001-05,74.2
2001-06,75.13
2001-07,74.77
2001-08,73.93
2001-09,72.57
2001-10,72.32
2001-11,70.83
2001-12,71.94
2002-01,71.36
2002-02,71.84
2002-03,72.18
2002-04,72.56
2002-05,73.71
2002-06,74.31
2002-07,73.46
2002-08,72.72
2002-09,72.47
2002-10,72.68
2002-11,72.87
2002-12,73.04
2003-01,74.17
2003-02,75.74
2003-03,77.34
2003-04,77.92
2003-05,81.45
2003-06,83.34
2003-07,81.71
2003-08,81.13
2003-09,82.95
2003-10,84.87
2003-11,85.62
2003-12,85.24
2004-01,85.86
2004-02,83.48
2004-03,83.67
2004-04,82.99
2004-05,81.38
2004-06,82.23
2004-07,84.28
2004-08,84.76
2004-09,86.46
2004-10,88.82
2004-11,91.88
2004-12,89.5
2005-01,89.26
2005-02,88.07
2005-03,89.49
2005-04,88.23
2005-05,86.91
2005-06,88.72
2005-07,90.07
2005-08,91.07
2005-09,93.21
2005-10,93.19
2005-11,93.35
2005-12,94.89
2006-01,94.85
2006-02,95.25
2006-03,94.59
2006-04,95.36
2006-05,97.37
2006-06,97.23
2006-07,95.58
2006-08,96.37
2006-09,96.47
2006-10,95.82
2006-11,94.72
2006-12,92.79
2007-01,91.32
2007-02,91.72
2007-03,91.81
2007-04,94.04
2007-05,97.1
2007-06,99.68
2007-07,100.41
2007-08,99.64
2007-09,102.34
2007-10,106.48
2007-11,106.09
2007-12,102.51
2008-01,100.94
2008-02,101.5
2008-03,99.76
2008-04,98.56
2008-05,100.41
2008-06,98.8
2008-07,98.57
2008-08,95.75
2008-09,96.72
2008-10,88.0
2008-11,87.2
2008-12,85.61
2009-01,86.16
2009-02,85.85
2009-03,84.65
2009-04,86.33
2009-05,91.07
2009-06,92.63
2009-07,92.46
2009-08,94.85
2009-09,95.0
2009-10,96.77
2009-11,96.26
2009-12,96.87
2010-01,98.23
2010-02,97.66
2010-03,100.42
2010-04,102.22
2010-05,99.9
2010-06,100.73
2010-07,99.69
2010-08,99.28
2010-09,99.78
2010-10,100.1
2010-11,100.48
2010-12,101.51
2011-01,102.3
2011-02,102.09
2011-03,103.19
2011-04,104.28
2011-05,103.19
2011-06,101.72
2011-07,103.82
2011-08,101.0
2011-09,100.25
2011-10,99.09
2011-11,98.66
2011-12,99.18
2012-01,100.14
2012-02,100.99
2012-03,101.27
2012-04,101.73
2012-05,100.44
2012-06,99.12
2012-07,100.35
2012-08,102.13
2012-09,102.8
2012-10,101.68
2012-11,100.9
2012-12,101.34
2013-01,100.72
2013-02,99.42
2013-03,98.24
2013-04,98.58
2013-05,98.52
2013-06,97.53
2013-07,96.97
2013-08,96.72
2013-09,97.29
2013-10,96.36
2013-11,95.46
2013-12,94.17
2014-01,91.7
2014-02,91.02
2014-03,90.33
2014-04,91.24
2014-05,92.01
2014-06,92.69
2014-07,93.41
2014-08,92.2
2014-09,92.13
2014-10,91.09
2014-11,90.66
2014-12,89.74
2015-01,86.15
2015-02,84.07
2015-03,84.09
2015-04,85.68
2015-05,86.39
2015-06,85.38
2015-07,82.5
2015-08,81.45
2015-09,81.08
2015-10,82.06
2015-11,81.32
2015-12,79.02
2016-01,76.71
2016-02,78.66
2016-03,81.61
2016-04,83.65
2016-05,83.16
2016-06,83.71
2016-07,82.78
2016-08,82.72
2016-09,82.22
2016-10,81.69
2016-11,81.07
2016-12,82.52
2017-01,83.53
2017-02,83.35
2017-03,81.27
2017-04,80.68
2017-05,79.4
2017-06,80.77
2017-07,84.21
2017-08,84.22
2017-09,86.2
2017-10,84.49
2017-11,83.69
2017-12,83.32
2018-01,84.95
2018-02,83.44
2018-03,81.24
2018-04,82.55
2018-05,82.39
2018-06,81.37
2018-07,81.88
2018-08,82.71
2018-09,82.59
2018-10,83.0
2018-11,82.03
2018-12,80.97
2019-01,80.97
2019-02,81.65
2019-03,80.8
2019-04,80.71
2019-05,80.72
2019-06,81.56
2019-07,82.76
2019-08,82.3
2019-09,82.47
2019-10,82.48
2019-11,81.92
2019-12,82.26
2020-01,82.43
2020-02,81.71
2020-03,78.26
2020-04,78.3
2020-05,78.88
2020-06,80.99
2020-07,80.66
2020-08,81.52
2020-09,81.25
2020-10,81.34
2020-11,81.95
2020-12,82.86
2021-01,83.26
2021-02,83.51
2021-03,84.82
2021-04,84.99
2021-05,86.83
2021-06,86.23
2021-07,84.5
2021-08,84.44
2021-09,84.03
2021-10,85.83
2021-11,85.11
2021-12,83.62
2022-01,84.64
2022-02,84.06
2022-03,85.11
2022-04,85.45
2022-05,85.18
2022-06,85.85
2022-07,85.27
2022-08,85.26
2022-09,83.62
2022-10,81.93
2022-11,82.71
2022-12,80.88
