Date,Mexico_Exchange_Rate
1992-11,113.17
1992-12,113.82
1993-01,114.81
1993-02,116.19
1993-03,115.42
1993-04,114.9
1993-05,114.36
1993-06,115.33
1993-07,116.99
1993-08,118.25
1993-09,118.64
1993-10,119.96
1993-11,119.59
1993-12,121.62
1994-01,121.94
1994-02,121.3
1994-03,114.47
1994-04,112.19
1994-05,113.57
1994-06,111.93
1994-07,110.03
1994-08,111.39
1994-09,111.21
1994-10,111.19
1994-11,111.15
1994-12,98.3
1995-01,71.7
1995-02,71.77
1995-03,63.2
1995-04,71.16
1995-05,78.4
1995-06,77.37
1995-07,80.33
1995-08,82.55
1995-09,83.57
1995-10,80.25
1995-11,71.95
1995-12,73.99
1996-01,77.85
1996-02,79.24
1996-03,79.72
1996-04,82.65
1996-05,84.49
1996-06,84.81
1996-07,85.24
1996-08,87.92
1996-09,89.14
1996-10,88.95
1996-11,87.22
1996-12,90.12
1997-01,92.3
1997-02,94.38
1997-03,93.43
1997-04,95.0
1997-05,95.71
1997-06,96.05
1997-07,98.1
1997-08,101.09
1997-09,102.34
1997-10,102.89
1997-11,98.26
1997-12,101.8
1998-01,102.94
1998-02,100.26
1998-03,100.35
1998-04,101.97
1998-05,102.24
1998-06,100.0
1998-07,101.18
1998-08,98.79
1998-09,90.41
1998-10,91.55
1998-11,94.41
1998-12,96.62
1999-01,96.05
1999-02,98.45
1999-03,102.28
1999-04,106.25
1999-05,108.3
1999-06,107.33
1999-07,110.21
1999-08,109.98
1999-09,111.04
1999-10,109.04
1999-11,111.03
1999-12,111.56
2000-01,111.32
2000-02,112.63
2000-03,114.66
2000-04,114.65
2000-05,114.49
2000-06,110.97
2000-07,115.5
2000-08,118.92
2000-09,118.88
2000-10,117.44
2000-11,117.93
2000-12,119.37
2001-01,114.86
2001-02,115.5
2001-03,117.88
2001-04,121.99
2001-05,125.07
2001-06,126.33
2001-07,125.81
2001-08,126.46
2001-09,123.47
2001-10,124.57
2001-11,126.81
2001-12,127.7
2002-01,128.86
2002-02,129.53
2002-03,130.11
2002-04,129.56
2002-05,124.78
2002-06,121.68
2002-07,120.66
2002-08,120.71
2002-09,118.64
2002-10,118.36
2002-11,116.95
2002-12,117.0
2003-01,112.05
2003-02,108.23
2003-03,108.35
2003-04,112.15
2003-05,115.79
2003-06,113.1
2003-07,114.15
2003-08,111.22
2003-09,109.08
2003-10,106.18
2003-11,107.0
2003-12,105.18
2004-01,108.15
2004-02,107.83
2004-03,108.44
2004-04,106.28
2004-05,104.38
2004-06,105.27
2004-07,104.5
2004-08,105.61
2004-09,105.2
2004-10,105.67
2004-11,104.63
2004-12,105.79
2005-01,105.38
2005-02,106.39
2005-03,106.45
2005-04,107.1
2005-05,109.11
2005-06,111.34
2005-07,113.13
2005-08,112.33
2005-09,110.31
2005-10,110.05
2005-11,112.52
2005-12,113.54
2006-01,113.44
2006-02,114.62
2006-03,112.12
2006-04,108.33
2006-05,106.8
2006-06,104.52
2006-07,107.95
2006-08,109.43
2006-09,109.73
2006-10,110.97
2006-11,110.61
2006-12,110.33
2007-01,110.38
2007-02,109.56
2007-03,107.72
2007-04,108.27
2007-05,109.45
2007-06,109.45
2007-07,109.6
2007-08,107.61
2007-09,107.17
2007-10,108.06
2007-11,106.46
2007-12,106.75
2008-01,105.7
2008-02,106.59
2008-03,106.31
2008-04,108.36
2008-05,109.55
2008-06,110.73
2008-07,111.43
2008-08,115.18
2008-09,111.63
2008-10,97.71
2008-11,95.85
2008-12,93.84
2009-01,90.57
2009-02,87.14
2009-03,86.61
2009-04,94.5
2009-05,95.58
2009-06,93.92
2009-07,93.89
2009-08,96.03
2009-09,92.83
2009-10,93.06
2009-11,93.47
2009-12,95.73
2010-01,97.06
2010-02,97.04
2010-03,100.21
2010-04,103.07
2010-05,100.76
2010-06,100.99
2010-07,99.27
2010-08,99.85
2010-09,98.5
2010-10,100.47
2010-11,101.59
2010-12,101.2
2011-01,102.86
2011-02,103.09
2011-03,102.91
2011-04,104.34
2011-05,105.0
2011-06,103.7
2011-07,104.75
2011-08,100.38
2011-09,95.35
2011-10,92.13
2011-11,91.49
2011-12,91.56
2012-01,93.39
2012-02,97.87
2012-03,98.27
2012-04,95.97
2012-05,93.5
2012-06,91.76
2012-07,96.37
2012-08,97.51
2012-09,98.34
2012-10,99.2
2012-11,97.96
2012-12,99.38
2013-01,100.6
2013-02,100.75
2013-03,103.27
2013-04,106.82
2013-05,107.1
2013-06,101.3
2013-07,102.64
2013-08,101.96
2013-09,100.12
2013-10,100.46
2013-11,100.62
2013-12,101.21
2014-01,100.65
2014-02,99.96
2014-03,100.39
2014-04,101.35
2014-05,102.4
2014-06,102.36
2014-07,102.69
2014-08,102.03
2014-09,102.54
2014-10,101.26
2014-11,101.52
2014-12,96.55
2015-01,95.86
2015-02,94.54
2015-03,93.76
2015-04,93.47
2015-05,92.78
2015-06,91.88
2015-07,89.89
2015-08,87.46
2015-09,86.29
2015-10,87.44
2015-11,87.75
2015-12,86.35
2016-01,82.38
2016-02,79.86
2016-03,82.67
2016-04,83.15
2016-05,80.81
2016-06,78.24
2016-07,78.92
2016-08,79.13
2016-09,76.73
2016-10,78.04
2016-11,74.85
2016-12,73.31
2017-01,70.97
2017-02,74.49
2017-03,78.74
2017-04,81.69
2017-05,81.78
2017-06,84.37
2017-07,85.78
2017-08,85.61
2017-09,85.18
2017-10,81.67
2017-11,80.84
2017-12,80.44
2018-01,79.91
2018-02,81.24
2018-03,81.29
2018-04,82.8
2018-05,78.81
2018-06,76.26
2018-07,81.82
2018-08,83.86
2018-09,83.01
2018-10,83.32
2018-11,78.98
2018-12,79.71
2019-01,83.23
2019-02,83.04
2019-03,82.95
2019-04,84.09
2019-05,84.33
2019-06,83.29
2019-07,84.24
2019-08,82.46
2019-09,82.59
2019-10,83.61
2019-11,83.97
2019-12,84.62
2020-01,86.09
2020-02,87.13
2020-03,74.97
2020-04,68.26
2020-05,70.92
2020-06,74.88
2020-07,73.88
2020-08,74.26
2020-09,76.16
2020-10,77.38
2020-11,79.86
2020-12,81.37
2021-01,81.82
2021-02,80.77
2021-03,79.37
2021-04,82.38
2021-05,82.39
2021-06,82.19
2021-07,83.02
2021-08,82.73
2021-09,83.16
2021-10,81.47
2021-11,80.53
2021-12,79.93
2022-01,81.64
2022-02,81.67
2022-03,81.46
2022-04,84.55
2022-05,85.22
2022-06,85.83
2022-07,84.7
2022-08,86.88
2022-09,88.56
2022-10,89.61
2022-11,91.3
2022-12,90.2
