Date,Brazil_Exchange_Rate
1996-09,107.11
1996-10,108.19
1996-11,108.0
1996-12,108.69
1997-01,110.12
1997-02,111.03
1997-03,110.98
1997-04,110.94
1997-05,109.34
1997-06,108.49
1997-07,108.78
1997-08,110.18
1997-09,109.44
1997-10,108.81
1997-11,108.93
1997-12,111.05
1998-01,112.23
1998-02,111.05
1998-03,110.46
1998-04,109.35
1998-05,108.55
1998-06,108.34
1998-07,107.24
1998-08,106.59
1998-09,104.15
1998-10,101.44
1998-11,101.53
1998-12,100.2
1999-01,80.74
1999-02,64.7
1999-03,66.63
1999-04,74.92
1999-05,75.89
1999-06,73.0
1999-07,72.07
1999-08,68.53
1999-09,68.2
1999-10,66.01
1999-11,68.64
1999-12,72.34
2000-01,74.11
2000-02,76.03
2000-03,77.67
2000-04,77.17
2000-05,76.18
2000-06,75.92
2000-07,77.34
2000-08,78.65
2000-09,78.63
2000-10,77.6
2000-11,75.12
2000-12,73.91
2001-01,73.78
2001-02,72.6
2001-03,70.36
2001-04,67.66
2001-05,65.1
2001-06,63.88
2001-07,62.17
2001-08,61.17
2001-09,56.94
2001-10,56.26
2001-11,53.98
2001-12,62.97
2002-01,79.69
2002-02,67.19
2002-03,70.74
2002-04,72.88
2002-05,68.69
2002-06,62.71
2002-07,57.07
2002-08,54.42
2002-09,51.28
2002-10,47.8
2002-11,49.29
2002-12,49.07
2003-01,51.38
2003-02,49.45
2003-03,51.59
2003-04,57.33
2003-05,59.27
2003-06,60.38
2003-07,61.0
2003-08,59.31
2003-09,61.03
2003-10,61.11
2003-11,60.02
2003-12,59.03
2004-01,59.75
2004-02,58.26
2004-03,59.45
2004-04,59.74
2004-05,56.86
2004-06,56.94
2004-07,58.28
2004-08,66.3
2004-09,61.85
2004-10,62.05
2004-11,62.38
2004-12,63.49
2005-01,64.42
2005-02,66.81
2005-03,63.91
2005-04,68.06
2005-05,72.39
2005-06,74.46
2005-07,75.99
2005-08,75.5
2005-09,77.67
2005-10,80.07
2005-11,82.64
2005-12,79.66
2006-01,79.36
2006-02,83.8
2006-03,84.27
2006-04,84.24
2006-05,80.71
2006-06,78.96
2006-07,81.57
2006-08,81.51
2006-09,81.56
2006-10,82.66
2006-11,81.33
2006-12,80.64
2007-01,81.78
2007-02,83.23
2007-03,83.08
2007-04,84.32
2007-05,86.09
2007-06,90.7
2007-07,89.84
2007-08,86.45
2007-09,88.49
2007-10,91.91
2007-11,91.85
2007-12,91.42
2008-01,91.57
2008-02,93.31
2008-03,92.39
2008-04,92.89
2008-05,95.08
2008-06,97.33
2008-07,98.49
2008-08,99.27
2008-09,91.33
2008-10,79.7
2008-11,78.92
2008-12,73.98
2009-01,77.39
2009-02,78.99
2009-03,79.29
2009-04,82.08
2009-05,86.34
2009-06,89.57
2009-07,90.85
2009-08,94.81
2009-09,95.35
2009-10,98.67
2009-11,98.79
2009-12,97.97
2010-01,97.38
2010-02,95.12
2010-03,98.2
2010-04,99.95
2010-05,99.32
2010-06,100.53
2010-07,103.07
2010-08,100.49
2010-09,99.99
2010-10,102.36
2010-11,100.84
2010-12,102.75
2011-01,103.96
2011-02,103.75
2011-03,103.72
2011-04,106.83
2011-05,105.42
2011-06,106.85
2011-07,108.25
2011-08,106.44
2011-09,99.34
2011-10,98.46
2011-11,98.28
2011-12,96.69
2012-01,99.12
2012-02,102.03
2012-03,97.97
2012-04,94.9
2012-05,90.02
2012-06,88.46
2012-07,89.78
2012-08,89.44
2012-09,88.77
2012-10,88.62
2012-11,87.72
2012-12,87.0
2013-01,89.31
2013-02,92.38
2013-03,93.22
2013-04,92.36
2013-05,91.38
2013-06,85.95
2013-07,83.46
2013-08,80.31
2013-09,82.77
2013-10,82.34
2013-11,82.47
2013-12,80.98
2014-01,80.73
2014-02,81.45
2014-03,83.56
2014-04,86.97
2014-05,87.5
2014-06,87.3
2014-07,87.89
2014-08,87.04
2014-09,86.1
2014-10,83.0
2014-11,84.17
2014-12,79.38
2015-01,81.76
2015-02,77.65
2015-03,71.42
2015-04,73.71
2015-05,72.89
2015-06,72.46
2015-07,71.11
2015-08,66.2
2015-09,60.19
2015-10,60.67
2015-11,63.68
2015-12,63.58
2016-01,62.69
2016-02,64.1
2016-03,67.81
2016-04,69.52
2016-05,70.76
2016-06,72.91
2016-07,77.43
2016-08,78.95
2016-09,78.09
2016-10,80.41
2016-11,77.72
2016-12,78.47
2017-01,81.88
2017-02,83.55
2017-03,82.7
2017-04,81.8
2017-05,79.66
2017-06,76.99
2017-07,78.95
2017-08,79.61
2017-09,79.31
2017-10,78.91
2017-11,77.3
2017-12,76.13
2018-01,76.89
2018-02,75.73
2018-03,75.13
2018-04,72.16
2018-05,69.83
2018-06,69.28
2018-07,68.92
2018-08,68.01
2018-09,66.27
2018-10,72.74
2018-11,71.98
2018-12,70.09
2019-01,72.15
2019-02,72.41
2019-03,70.68
2019-04,70.16
2019-05,69.0
2019-06,71.13
2019-07,72.14
2019-08,69.82
2019-09,68.35
2019-10,68.63
2019-11,67.34
2019-12,68.25
2020-01,67.1
2020-02,64.8
2020-03,58.56
2020-04,54.59
2020-05,51.27
2020-06,54.98
2020-07,53.96
2020-08,51.71
2020-09,52.42
2020-10,50.5
2020-11,52.32
2020-12,54.77
2021-01,52.27
2021-02,51.98
2021-03,50.51
2021-04,51.18
2021-05,53.64
2021-06,56.78
2021-07,56.32
2021-08,55.85
2021-09,55.96
2021-10,53.71
2021-11,53.89
2021-12,53.37
2022-01,54.29
2022-02,57.78
2022-03,61.24
2022-04,64.46
2022-05,62.91
2022-06,61.89
2022-07,58.64
2022-08,60.96
2022-09,60.65
2022-10,61.24
2022-11,60.06
2022-12,59.59
