Date,China_P.R.:_Mainland_Exchange_Rate
2020-08,122.57
2020-09,124.01
2020-10,125.11
2020-11,124.84
2020-12,124.96
2021-01,125.84
2021-02,126.4
2021-03,126.83
2021-04,126.18
2021-05,126.9
2021-06,126.78
2021-07,127.0
2021-08,126.95
2021-09,126.26
2021-10,128.65
2021-11,129.75
2021-12,130.34
2022-01,129.31
2022-02,129.2
2022-03,130.83
2022-04,130.07
2022-05,125.68
2022-06,126.14
2022-07,127.82
2022-08,125.95
2022-09,124.11
2022-10,121.85
2022-11,119.44
2022-12,119.68
