Security,DW1 Comdty,
11/30/2015,89.325,#N/A N/A
10/30/2015,89.75,#N/A N/A
9/30/2015,89,#N/A N/A
8/31/2015,89.85,#N/A N/A
7/31/2015,89.925,#N/A N/A
6/30/2015,89.225,#N/A N/A
5/29/2015,90.05,#N/A N/A
4/30/2015,90.45,#N/A N/A
3/31/2015,90.225,#N/A N/A
2/27/2015,92.45,100
1/30/2015,95.925,104
12/31/2014,90.325,#N/A N/A
11/28/2014,94.675,#N/A N/A
10/31/2014,93.675,100
9/30/2014,91.7,#N/A N/A
8/29/2014,94.95,11481
7/31/2014,93.95,266
6/30/2014,94.575,8320
5/30/2014,94.1,1768
4/30/2014,91.4,1602
3/31/2014,91.275,18361
2/28/2014,90.55,2857
1/31/2014,88.475,7047
12/31/2013,89.625,22333
11/29/2013,91.275,12321
10/31/2013,92.3,6183
9/30/2013,92.2,29255
8/30/2013,90.275,24802
7/31/2013,93.15,27213
6/28/2013,93.45,40240
5/31/2013,111.3,9108
4/30/2013,117.65,10131
3/29/2013,114.05,34033
2/28/2013,113.925,28133
1/31/2013,113.525,30195
12/31/2012,111.475,55199
11/30/2012,111.325,77053
10/31/2012,111.15,81598
9/28/2012,112.325,114033
8/31/2012,111.575,105975
7/31/2012,112.5,181932
6/29/2012,111.725,37051
5/31/2012,121.3,118947
4/30/2012,120.125,56043
3/30/2012,118.825,67572
2/29/2012,119.35,126124
1/31/2012,121.725,137461
12/30/2011,117.3,57284
11/30/2011,120.025,310927
10/31/2011,119.75,137069
9/30/2011,116.925,131785
8/31/2011,121.625,221986
7/29/2011,116.625,138977
6/30/2011,113.575,187307
5/31/2011,114.925,165479
4/29/2011,112.1,108699
3/31/2011,108.975,215951
2/28/2011,109.925,126801
1/31/2011,111.775,160662
12/31/2010,112.8,153245
11/30/2010,114.65,156872
10/29/2010,119.55,104687
9/30/2010,118.6,135522
8/31/2010,118.55,143023
7/30/2010,116.475,108557
6/30/2010,113.45,84420
5/31/2010,112.1,182823
4/30/2010,110.25,77921
3/31/2010,108.7,114967
2/26/2010,108.775,68649
1/29/2010,107.125,78480
12/31/2009,105.475,46701
11/30/2009,107.05,120367
10/30/2009,105.525,95489
9/30/2009,105.9,144851
8/31/2009,104.85,135080
7/31/2009,104.975,117570
6/30/2009,104.35,170540
5/29/2009,106.7,173047
4/30/2009,108.075,100593
3/31/2009,107.425,121432
2/27/2009,102.6,189638
1/30/2009,107.9,97245
12/31/2008,106.725,170420
11/28/2008,98.9,149650
10/31/2008,100.95,233127
9/30/2008,103.375,174310
8/29/2008,103.25,199236
7/31/2008,100.025,239292
6/30/2008,98.05,146540
5/30/2008,105.275,67042
4/30/2008,106.75,247503
3/31/2008,110.35,18150
2/29/2008,110.075,55792
1/31/2008,109,72300
12/31/2007,105.35,35250
11/30/2007,106.85,28767
10/31/2007,107.5,62434
9/28/2007,107.175,43220
8/31/2007,107.5,93047
7/31/2007,108,64047
6/29/2007,108.275,24053
5/31/2007,109.175,64940
4/30/2007,107.875,74310
3/30/2007,109.175,79100
2/28/2007,106.425,45150
1/31/2007,106.75,77500
12/29/2006,110.225,19000
11/30/2006,108.275,21500
10/31/2006,106.775,30250
9/29/2006,104.25,8250
8/31/2006,104.875,16800
7/31/2006,102.4,16300
6/30/2006,98.525,13550
5/31/2006,98.575,51377
4/28/2006,102.575,27600
3/31/2006,101.575,14752
2/28/2006,106.95,21400
1/31/2006,104.8,8400
12/30/2005,103.9,11700
11/30/2005,101.875,8200
10/31/2005,99.6,17900
9/30/2005,101.75,30960
8/31/2005,100.95,23190
7/29/2005,97.1,23300
6/30/2005,97.05,5700
5/31/2005,95.8,10600
4/29/2005,90.175,4400
3/31/2005,90.35,15250
2/28/2005,94.575,25950
1/31/2005,95.7,4810
12/31/2004,95,36720
11/30/2004,91.525,64990
10/29/2004,93.05,57930
9/30/2004,92.175,13620
8/31/2004,92.125,15870
7/30/2004,92,14290
6/30/2004,90.275,6500
5/31/2004,92.925,8130
4/30/2004,96.3,17980
3/31/2004,102.85,1800
2/27/2004,103.5,4410
1/30/2004,104.4,18364
12/31/2003,101.725,786
11/28/2003,102.75,4335
10/31/2003,104.9,12355
9/30/2003,104.525,2230
